,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
ABL1,-3.5157454,-1.6467198,0.898212,2.5850403,3.5868611,1.8015742,1.4197127,-2.2632582,-2.1814637,-0.5018207,-4.8561664,-1.6160804,-2.0181031,-2.027089,3.0187113,-2.9916859,0.8735679,2.3500044,2.1688247,-0.73425776,-1.8007338,1.854627,-3.8989568,1.769042,1.9629235,3.02191,2.2716749,-2.3994784,-1.7360225,-2.425055,4.4531307,0.7978218,1.6008589,-1.9591969,-2.4698055,2.4136333,2.8293576,-2.1761272,3.1765475,-4.526364,2.5730517,2.2269106,1.0618525,-3.8429928,-3.362246,1.8261187,-0.07945361,-1.7471547,0.8561304,-3.0791934,3.262911,1.264299,1.4706417,-2.6918201,0.7399356,2.8512948,3.1500437,-2.9313846,-2.122574,1.0507456,0.55597866,1.7469958,0.12311078,2.3604577,-3.5231016,-1.0637798,-1.1784163,-1.5600262,1.8973364,-3.1475558,1.5665765,-0.77817845,1.8670863,2.8230548,1.9764712,-0.31867877,-2.7071795,2.4709427,0.56468993,-1.3072623,-1.8064737,1.9343166,0.31569472,-3.4839406,1.9361582,-1.6733924,-3.5865963,-1.3181254,-0.9135922,-1.4642627,-3.2244837,-0.15850855,-1.9004107,3.7049541,-0.046793107,-3.0359702,-2.9617326,0.4872503,-1.1548207,-5.4904733,2.5693011,-1.6144505,-1.2884867,-2.1827857,2.3334491,-1.5275619,1.8130083,-1.4056913,4.1216927,1.7636483,1.623556,-1.3939536,-2.0225189,2.0893264,3.0164402,2.8440092,1.0603402,2.3099089,-1.0187608,-0.29058853,0.8060294,0.95764637,1.3010992,2.0811193,1.0839102,0.90302116,0.8767646,-0.80740464
AKT1,-5.2112565,-2.4120495,1.7274891,3.2152486,4.934146,3.140561,2.9394848,-2.7280793,-2.957353,-0.082402065,-7.184035,-2.135334,-2.6923492,-2.7671113,3.8420568,-4.5864053,0.9388671,2.0753462,1.2259694,-0.9672853,-2.7389586,3.417921,-5.767263,2.7371771,0.84430593,4.223516,2.4198227,-2.6989398,-1.6528095,-3.699801,4.3814745,-0.65630406,2.1501687,-1.6866992,-3.3591788,3.3674374,6.202757,-3.1211333,3.864656,-6.0094666,2.506155,2.100435,1.5248065,-5.6446137,-4.588067,2.8626852,-0.2390561,-2.2316766,2.2497833,-4.4290133,4.327026,2.0177693,0.7217595,-4.2007594,1.679222,4.215889,3.0812447,-2.902701,-2.273408,1.4353191,1.0790648,2.8696163,-0.52250296,2.8674655,-5.1356,-1.5095198,-2.1919234,-2.242399,2.7056673,-4.4265194,1.7943118,0.052123666,2.700164,3.505775,2.002462,-1.6172382,-1.9018443,3.1431794,-0.29874855,-0.6953612,-1.6140049,2.3541446,0.052999116,-5.6361747,2.0528646,-1.1925488,-4.586918,-1.4075286,-2.0746214,-1.0247616,-3.821588,-1.9300729,-3.7047412,5.3679347,0.27044243,-3.9272335,-4.1391516,0.35860264,-2.3224244,-7.2810984,3.7572565,-2.1139777,-0.7811713,-3.7900405,2.6001394,-2.8368258,3.497833,-0.956267,5.215065,3.621544,2.2894294,-1.0968122,-3.6598296,3.0167856,4.2759647,3.5281413,1.0524099,2.9602683,-1.5539446,-0.79349434,1.1176466,1.0520099,1.27114,2.6631613,0.4393666,1.2585974,1.2076114,-0.85406524
PTEN,-4.4569354,-1.5366551,1.4264418,2.2301972,3.759377,2.5983627,2.1917913,-2.912989,-1.4759815,-0.057594698,-5.5234137,-1.968013,-2.3528464,-2.5115628,3.2184832,-3.9186563,0.94620305,1.9252739,1.1068177,-0.9652332,-2.0375671,2.5295322,-3.916164,2.096739,0.58695924,3.6591856,2.0470796,-1.7569649,-1.7438358,-2.8923326,2.9260886,-0.6042035,1.96278,-1.6694934,-2.8663642,2.564587,3.9363554,-2.7352557,3.3805497,-4.39588,1.8159176,2.174517,1.0915766,-5.002173,-3.5849118,2.2679806,-0.19977961,-2.140548,1.8061968,-3.3903606,3.0321343,1.4250947,1.068097,-3.1186938,1.6063579,3.7925236,2.4436672,-2.1619196,-1.3784494,1.5067899,0.76484627,2.0614417,-0.71267164,1.9958755,-3.8679187,-1.2681842,-1.5708363,-1.465826,2.578242,-3.185131,1.9601537,-0.4988702,2.1421325,2.1970901,1.1048558,-0.51947,-1.720236,1.8328065,-0.21619765,-1.2724382,-1.3043288,1.8740057,0.030827023,-4.2618,1.5481123,-0.7829786,-3.9863653,-1.0645087,-1.371697,-0.76917285,-2.879464,-1.1040767,-3.0780706,3.771515,0.29323703,-2.643398,-3.0447953,0.5598692,-1.7591822,-5.970905,3.194963,-1.7537378,-0.40366003,-3.4353192,2.2563984,-2.2595792,2.744484,-0.40458223,4.156026,2.5154586,1.5098525,-0.84321475,-2.5144236,1.5960896,3.5997825,2.6712337,0.6236566,1.7635707,-0.9350829,0.080968924,0.7646336,0.7426303,1.1288949,2.1856098,0.56538945,1.5734863,0.9547717,-0.92630154
BCL2,-4.3644137,-2.2184188,2.0075147,2.6498015,4.5669746,2.6316388,2.2514281,-3.0361984,-1.8462936,-0.14798076,-5.8789816,-2.0634546,-2.503199,-2.4939172,3.3051531,-4.339237,1.110685,2.2235925,1.0949517,-1.4006708,-2.0988326,2.3188486,-4.3498793,2.351043,0.97114134,3.5620177,2.0732746,-1.890618,-2.0273845,-3.1043427,3.1976542,-0.32465246,2.218315,-1.6866456,-2.5579014,2.4429467,4.5126376,-2.6412559,3.0125058,-4.8099527,2.083125,2.4658375,1.040509,-4.841035,-3.4139988,1.8402864,-0.22698118,-2.5247087,2.2213888,-4.3744,3.1843388,2.0075893,0.60549635,-3.46946,0.9964431,3.42888,2.9320886,-2.1327357,-1.6457734,1.1178598,0.9079537,2.089919,-0.97157687,2.7329557,-4.390261,-1.437839,-1.6006696,-1.5844781,1.9549446,-3.7546768,2.5642788,-0.5433451,2.2591903,2.6693778,1.2969905,-0.37359944,-2.3465855,2.08835,0.1989251,-1.5809612,-1.2044617,2.0327377,-0.049585067,-3.9074664,1.395175,-0.7522273,-3.9213996,-1.5146875,-1.2071829,-1.255531,-3.021594,-1.6813765,-3.1698904,4.3829694,0.35785225,-3.0602992,-3.4078786,0.7685717,-1.3733447,-6.5694213,3.2191448,-1.9264599,-0.013652118,-3.1712291,2.319558,-1.8240664,2.8517423,-0.34719372,4.0628166,2.6130567,1.6267487,-1.059392,-2.1182177,2.771926,3.7375813,2.7040858,1.1063625,2.0453303,-0.85411763,-0.051582657,1.1346351,1.1615642,1.6407951,2.2560966,1.2293751,1.5114444,0.5353247,-0.8942532
JAK2,-3.1031883,-1.5108504,0.9322994,2.291175,3.4404445,1.7739052,1.1840532,-2.2358406,-1.6781757,-0.042694386,-4.11172,-1.4916848,-1.6871226,-1.9594249,2.480981,-2.5425515,0.9922011,1.6835824,1.6303405,-0.64430267,-1.5218979,1.7590395,-3.481271,1.9567131,1.0826861,2.806318,1.7889628,-1.9538237,-1.618436,-1.9562591,3.6828966,0.75471735,1.617921,-1.6771815,-1.8237026,2.2168012,2.309521,-2.076319,2.7379782,-3.915218,1.9990702,2.216444,1.1163869,-2.93825,-2.9489899,1.8209465,-0.4109489,-1.6174796,1.4820775,-2.5973136,2.5455983,0.63988894,1.1640635,-2.3390312,0.63200694,2.3885398,2.661775,-2.2141945,-1.7475259,0.7738656,-0.055006117,1.5706704,-0.19490063,1.8019673,-2.8166428,-1.184407,-0.53704053,-1.2777717,1.7325082,-2.6724215,1.6742139,-0.8063366,1.2343582,2.236022,1.2477789,-0.4276607,-1.81776,2.2820575,0.5392795,-1.1608969,-1.3670864,1.7034956,0.10685418,-2.949024,1.6609583,-1.2640865,-3.2469513,-1.2077503,-1.3010424,-1.0150265,-2.2719646,-0.52259004,-1.5213602,3.4917855,0.17574088,-2.346339,-2.6644335,-0.344233,-0.747178,-4.5930386,2.2041144,-1.6756285,-1.0605443,-2.0330627,2.0838907,-1.5927999,1.3908508,-1.2548846,3.3962972,1.3329747,1.524775,-1.3917278,-1.4905119,2.2735872,2.2331846,2.512721,0.76670283,1.6603936,-0.9331386,-0.7050823,0.6592641,0.55140805,1.4154838,2.027208,1.3282896,1.2758993,0.85410476,-0.43068737
RRM1,-1.2733747,-0.6992701,0.7317224,0.8012127,1.5202441,0.44265607,0.32750878,-1.1474705,-1.0200491,-0.3622143,-1.8664587,-0.72011644,-0.91479003,-1.1362711,1.2558807,-1.5257533,0.33959287,1.3042022,0.7853545,-0.220325,-0.613243,0.3970915,-1.2885866,0.634789,0.7942322,1.1728566,0.8545427,-1.2420989,-0.88418895,-1.1852947,1.6459053,0.35219973,0.7267054,-0.8156334,-0.8269972,0.9939462,0.6580323,-0.9640966,1.4161696,-1.7710862,1.1091878,1.3007063,0.48345155,-1.2841842,-0.9420642,0.71287936,0.14221585,-0.8817945,0.3204479,-1.0200555,1.2554069,0.54578483,0.8818867,-1.0356449,0.34934983,0.81963027,1.2855414,-0.9389704,-0.8650733,0.5817625,0.0716458,0.41088057,-0.13080706,0.84257966,-1.1870682,-0.50651073,-0.18430844,-0.5300442,0.923436,-1.4091419,0.69823134,-0.47233593,0.84321594,1.1786866,0.675394,-0.06660441,-1.4231755,1.2698376,0.6159645,-1.0099831,-0.80382174,0.74443585,0.38421828,-1.063726,1.143867,-0.7665267,-1.5495989,-0.6013033,-0.64191645,-1.0324801,-1.6286564,0.09070781,-0.5157295,1.4562622,0.38704428,-1.3445891,-1.2975593,-0.093754165,-0.4065168,-2.0256894,1.2244768,-0.64251137,-0.7441024,-0.9177042,0.98263645,-0.42993796,0.58635634,-0.6273432,1.5557383,0.63631463,0.655054,-0.7186877,-0.6479799,1.1495144,1.0733978,1.2907019,0.43712544,0.8222114,-0.23758171,-0.2541981,0.40919343,0.27186352,0.76835126,1.0625895,0.9910748,0.29764518,0.19490644,-0.42331833
PC,-1.0638378,-0.52271485,0.61314553,0.5604026,1.3076102,0.37907764,0.17218593,-1.0942396,-0.8613745,-0.28533286,-1.5422851,-0.5814828,-0.7777318,-1.0465375,1.0345335,-0.9813007,0.42866302,1.127175,0.5136449,-0.24083436,-0.538556,0.3976716,-1.0335505,0.47796646,0.59495,1.0102409,0.76981324,-1.0441133,-0.62679064,-0.98167676,1.6156764,0.33038548,0.7151559,-0.7385064,-0.93844354,0.9430834,0.59823465,-0.86798227,1.2519753,-1.4119194,1.1702043,1.156294,0.44857365,-1.0632801,-0.84336907,0.44926554,-0.119554855,-0.9780451,0.6122597,-1.2415673,1.0910392,0.5637909,0.82082516,-0.8068281,0.2728852,0.61684763,0.90481305,-0.8893423,-0.87548137,0.5215634,-0.112706006,0.21252076,-0.25561556,0.822462,-0.9268499,-0.48808935,-0.100218795,-0.44972306,0.6738799,-1.2298902,0.6765371,-0.5768243,0.64035213,1.0112236,0.52512807,-0.07453183,-1.0698768,0.97764796,0.6192077,-0.9564897,-0.61190736,0.6364328,0.23798949,-0.8110285,0.9372863,-0.67190987,-1.3768013,-0.5537475,-0.59473,-1.0964004,-1.2926081,0.08428214,-0.47659138,1.5011731,0.38625365,-1.1314609,-1.0970234,-0.22731948,-0.23679519,-1.7568089,1.2962816,-0.6957094,-0.5520888,-0.7084725,0.8835764,-0.3753432,0.51892,-0.572389,1.4326315,0.4266645,0.39597327,-0.7604413,-0.442771,1.1351849,0.9062101,1.1303027,0.4000322,0.5713192,-0.15297663,-0.10672148,0.3295333,0.37803936,0.5717039,1.0478224,0.88984454,0.55685586,0.17297721,-0.4037406
GOT2,-1.4752586,-0.7767036,0.87639934,0.94874454,1.7493875,0.51662797,0.46117106,-1.5037034,-1.13479,-0.40075898,-2.1909096,-0.9192088,-1.1833935,-1.2422981,1.4729033,-1.3980485,0.58112556,1.3282064,0.76736146,-0.3053741,-0.767889,0.47929466,-1.4024929,0.6345104,0.89516085,1.406312,0.8988365,-1.2623091,-1.0562931,-1.4276975,2.333077,0.31267858,0.9172676,-1.0939635,-1.1870725,1.2585902,0.8074284,-1.2099867,1.691905,-2.0423372,1.6850454,1.5778106,0.7540336,-1.4063308,-1.2205249,0.9840633,0.11187855,-0.82396924,0.5323035,-1.5549569,1.4238559,0.52586454,1.1037539,-1.1487187,0.49378574,1.1220973,1.1993544,-1.2190534,-1.0012313,0.7176527,-0.05986832,0.41444713,-0.20568803,1.0460514,-1.344007,-0.589869,-0.25467604,-0.7615394,0.8070778,-1.6898093,0.9610143,-0.54151297,0.75215477,1.5251904,0.7257529,-0.20203507,-1.4320703,1.3035526,0.71308094,-1.3696551,-0.81795555,0.8677594,0.33134407,-1.3618373,1.3935112,-1.1559035,-1.9696443,-0.8285082,-0.81754297,-1.2910769,-1.6897125,0.023954883,-0.5426093,2.060355,0.33894134,-1.6336336,-1.3728135,-0.28632346,-0.5120728,-2.291021,1.5559387,-0.9452568,-0.75772005,-1.0007602,1.1845986,-0.39348713,0.75365335,-1.0300038,2.1646557,0.6326054,0.6259744,-0.80563635,-0.6207435,1.4390118,1.331505,1.4087362,0.39507064,0.9818721,-0.12740584,-0.2667343,0.22277948,0.14675298,0.49389014,1.4030427,1.1259321,0.7611332,0.36912546,-0.5748022
UBB,-3.8100245,-1.2441871,1.5719366,2.105072,3.821651,2.219386,1.730861,-2.178386,-1.947819,-0.008097677,-5.307737,-1.7938215,-1.9918444,-2.1684945,2.801315,-3.0079124,1.0636772,1.8357657,0.6544023,-0.8075051,-1.9338782,2.1289434,-3.5061104,2.3891952,0.9538746,3.1991842,1.8113642,-1.51317,-1.5546372,-2.7346103,3.0561776,-0.23048954,2.0359228,-1.4243146,-2.3497741,2.4164765,3.5253959,-2.3520815,2.4182684,-3.9042146,2.0277934,1.8593212,1.0828812,-3.6920533,-2.978527,2.230493,0.003393927,-1.6511612,1.837283,-3.1394792,2.404686,1.3802584,0.8102583,-2.5804477,1.3910812,3.305699,2.147697,-1.9700366,-1.3164315,1.1751325,0.45803317,2.1424837,-0.59727496,2.1297119,-3.5863338,-1.3335774,-0.71705353,-1.3262615,1.9644349,-3.117374,1.818241,-0.4279449,1.4613382,2.4945245,1.0417607,-0.9880479,-1.8561922,2.3896232,0.20448188,-1.1571822,-1.3195639,1.7418458,-0.018517368,-3.7188892,1.7243897,-1.3309432,-3.3764274,-1.2429549,-1.1197509,-1.109405,-2.0634942,-1.1533571,-2.0379033,3.8905783,0.48859617,-2.8507755,-2.715888,0.32390404,-1.624054,-5.092567,2.5921028,-1.9460089,-0.18534635,-2.509236,1.9369067,-1.2294738,2.0353818,-0.61009115,3.6482127,2.0839584,1.2671093,-0.63495445,-2.3885758,2.423913,3.163335,2.6759932,1.1063732,2.0534086,-0.4648342,-0.12373074,0.8878057,0.5458453,1.3167839,1.9575869,0.79457563,1.2086022,0.9594147,-1.1672742
BCL2L1,-2.521605,-1.2442465,1.0311456,1.4106286,2.470851,1.5616246,0.96478677,-1.872346,-1.3338698,-0.13248263,-3.2661307,-0.9040308,-1.2770888,-1.4583236,1.7068627,-2.4395983,0.42231876,1.2822145,0.66533685,-0.6634012,-1.4612601,1.4284307,-2.4977674,1.1855317,0.506922,1.8117504,1.0526215,-1.351563,-1.139183,-1.8290993,1.8935544,-0.65736663,1.3245922,-1.0274345,-1.4150968,1.6064242,2.3791602,-1.3522005,1.7810085,-2.4771135,1.4607612,1.3954874,0.90206,-2.6638336,-1.8941418,1.1781077,-0.042166583,-1.3033099,1.1046554,-1.9691222,1.74282,1.1270051,0.5893287,-1.852771,0.476732,1.9134231,1.6686919,-1.0484781,-1.0924426,0.5610864,0.45575202,1.3937854,-0.6603052,1.582106,-2.3036506,-0.6739515,-0.58232594,-0.5475554,1.3228043,-2.009102,1.3326283,-0.350251,1.3776422,1.52457,0.66933286,-0.42280215,-1.3986815,1.1803693,0.17205417,-0.9589963,-0.6923172,0.89825076,0.15463522,-2.5189478,1.2234257,-0.66925925,-2.298097,-0.75462484,-0.5641816,-0.7496143,-1.7950938,-0.838216,-1.7116796,2.3012085,0.1452688,-1.7151604,-1.8464139,0.12975906,-0.9676566,-3.5992143,1.9206358,-1.1454463,-0.2638761,-1.7655951,1.4476296,-0.91198975,1.3160341,-0.5176795,2.244653,1.3936505,1.2918125,-0.6302215,-1.3863648,1.5335816,1.926464,1.8623798,0.77414507,1.2863741,-0.5760324,-0.33698845,0.7267825,0.6788471,1.028129,1.3198873,0.7692873,0.4630246,0.18497875,-0.69728935
