,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
ABL1,-2.601288,-2.03886,-0.44405442,2.3703651,2.0369062,1.8849177,1.6530721,-2.309182,-2.3656437,-0.10599577,-3.2119358,0.76482344,-3.3381972,-2.6045742,2.920192,-2.4408953,0.5280004,1.6104047,-2.789766,0.60844976,-2.5814643,1.6507418,-2.7361624,1.8482267,-0.69682133,3.3971252,0.859384,1.8394078,-0.96162534,-1.683854,1.8627616,-1.9271905,-0.28428712,-2.6015856,-1.4801323,3.2726538,1.290742,-1.6083585,1.5005684,-3.139554,1.5774065,1.789955,0.8330328,-2.6050153,0.58944666,1.0447426,-1.6321349,0.4369902,2.7216568,-2.3393295,2.4221854,1.3504592,1.0870695,-2.0658646,1.2685654,-1.1487062,1.3189094,-1.6683798,-1.0999049,2.1081483,1.5439533,-1.5171367,0.7343338,2.0106473,-0.29316235,1.3735107,-1.3122488,-1.2630157,1.1943377,-3.04598,1.4393185,-1.1816788,-0.8079311,2.0023768,-0.57389,1.6107347,-1.9792254,-0.9520635,-1.563744,-2.415773,-1.0202811,1.473928,0.9330177,-3.6076283,2.4611242,-1.2219564,-2.0105138,1.8875546,-1.0148729,-0.26498544,-1.808404,-1.6861767,-3.7300406,3.0078278,-0.66047394,-3.0658329,-2.3695545,-1.8248743,-0.48405296,-2.8960128,1.5277497,0.91421336,2.0545473,-2.8117518,1.7975053,-1.7458737,-0.6434549,2.39142,2.7217903,1.4565052,0.09851959,-1.8806437,-1.5796075,2.5607293,0.7361307,1.9518538,-2.4409962,-1.4237094,-1.7478757,-0.5790466,-1.114242,1.1379392,0.959177,-1.4303523,0.9152403,1.7735234,2.9502997,-1.1895024
AKT1,-6.0279765,-6.8971324,-1.0494684,6.0285926,5.17841,3.7130911,4.5297384,-7.3028874,-7.6317964,1.8267938,-10.511134,4.1867533,-7.8588314,-7.853959,7.459736,-9.922997,4.413068,5.71737,-6.842179,3.4172335,-8.985525,5.4120874,-4.85948,3.2935941,0.46406156,11.888666,1.6805953,6.526072,-0.7146395,-2.6171658,6.1901126,-3.4951918,-2.3203712,-6.965088,-3.8541648,8.783969,4.1109047,-1.8888443,7.9044404,-8.624277,5.315365,4.742646,0.715184,-6.3037324,1.7262632,2.316897,-6.695378,3.4970903,5.1790123,-8.079486,8.313851,2.9041317,5.608237,-7.541823,2.1497324,-3.5508072,3.0857892,-6.8726177,-4.054213,3.9810543,5.8802114,-7.233297,2.4618394,4.5158405,1.741543,4.667453,-5.795712,-6.403818,3.5832233,-7.976685,0.34048083,-2.0263932,0.8406599,6.088165,-0.337466,5.735112,-3.9122868,-2.372267,-5.6695833,-7.411339,-2.6273348,3.343878,1.7800157,-10.479481,7.628982,-1.2573855,-7.1119714,3.899951,-2.0269852,-1.755551,-3.4775486,-3.4199097,-8.980441,8.369333,-0.56229633,-10.243975,-5.964642,-5.63039,0.18634574,-7.8153143,5.155781,5.4271507,4.002754,-9.230033,4.7236934,-5.2170854,-2.092316,4.512766,5.619213,4.027391,-0.8079658,-5.0820513,-2.327517,6.354083,1.1867831,5.7947106,-8.254641,-1.8519219,-4.742605,0.68376136,-6.019054,1.8267311,5.365891,-3.2686818,3.1106544,4.2950325,10.649554,-5.2293305
PTEN,-3.1947367,-2.8729403,-0.5505032,2.90595,2.4582157,2.0358117,2.5307784,-3.3757994,-3.2307675,0.83672076,-4.817595,1.7540895,-3.8151834,-3.4431307,3.8388896,-4.2168717,1.8735791,2.4114733,-3.6902425,1.4234016,-4.119339,2.4829543,-2.270263,1.903049,-0.061371803,5.558372,0.7366861,2.8336594,-0.48518804,-1.3647107,2.8466682,-2.0817018,-0.89791644,-3.5482306,-2.0749393,3.961105,2.0297618,-1.3411098,3.515369,-4.334426,2.5602074,2.1619246,0.3903635,-3.208021,0.8278762,1.1251383,-2.967177,1.3911717,2.7217903,-3.787913,3.7538068,1.3903123,2.431409,-3.5112133,1.0514213,-1.6781094,1.5347633,-3.04241,-1.9528495,2.0833135,2.5568626,-3.1152086,1.0064495,2.093748,0.8105645,2.2554607,-2.3310719,-2.6287794,1.554425,-3.782744,0.47188458,-1.0441215,0.09711565,2.7952142,-0.19385247,2.8003438,-2.0003657,-1.0549247,-2.5454438,-3.1815138,-1.1858385,1.9133036,0.93540215,-4.833085,3.4865456,-0.9830282,-2.7202523,2.0427773,-1.0001075,-0.7316821,-1.6601511,-1.7092202,-4.448324,4.1168175,-0.10346792,-4.8215876,-3.0899143,-2.4810526,-0.32410485,-3.722845,2.8027835,2.1659749,1.8706232,-4.013397,2.2101154,-2.5532768,-0.85623735,2.5577345,3.0083349,1.8852538,-0.5904672,-2.18981,-1.2097309,3.265685,1.0236173,2.806017,-3.7607882,-1.1770678,-2.2466204,-0.17101647,-2.5093102,1.2158364,2.3027394,-1.5400358,1.3965255,2.1627896,4.9467583,-2.3653753
BCL2,-3.3049967,-3.576112,-0.93863934,3.3979597,2.843679,2.2339683,2.707429,-3.9079669,-3.8220732,0.75114053,-5.870583,1.9216617,-4.667183,-4.440682,4.361658,-5.089591,2.170421,3.0704646,-4.154307,1.8033441,-4.6628814,2.7802567,-2.6826887,2.107486,0.07132399,6.386864,0.93500566,3.5564113,-0.28900275,-1.4265817,3.643047,-2.426405,-1.2143518,-4.34084,-2.3919601,4.870971,2.2537625,-1.2049221,4.1266875,-4.714423,2.9402192,2.8463647,0.44300774,-3.8109717,1.0894046,1.2317772,-3.5303824,1.6053778,2.8930664,-4.8743367,4.4222813,1.6450632,2.8774953,-4.289002,1.395267,-1.9263418,1.944165,-3.648485,-2.1201692,2.3760257,3.2199266,-3.6450205,1.4439129,2.7968519,1.0469164,2.7079182,-3.2312765,-3.385247,1.9894186,-4.199145,0.5618645,-1.127421,0.4412419,3.5615993,0.040745966,3.053302,-2.39137,-1.0128055,-2.9204195,-3.8037014,-1.18723,1.9925454,1.0442655,-5.7233214,4.110189,-0.9471322,-3.5844674,2.451954,-1.2815531,-0.8837015,-2.2815888,-2.0351248,-5.034829,4.904282,-0.3409671,-5.795831,-3.5077448,-3.16145,0.025752261,-4.310259,3.1760206,2.914545,2.2016325,-4.739725,2.589412,-3.135348,-0.78451633,3.0955331,3.3389761,2.2021067,-0.38954753,-2.799122,-1.2474889,3.9123015,0.9902066,3.1542866,-4.5716515,-1.4550189,-2.709993,0.18291913,-3.288036,1.0998858,2.5120888,-1.7936825,2.0949903,2.5612314,5.7314777,-2.4903665
JAK2,-1.914062,-2.3863542,-0.2233133,2.1345348,2.0583694,0.9136641,1.2464497,-2.6855195,-2.9654486,0.4112124,-3.8157547,0.89684516,-2.0856597,-3.1722453,2.1706848,-3.5101264,1.6408896,2.168108,-2.1181557,1.7880839,-2.6758153,1.2461892,-1.4545697,0.90202665,1.5996494,4.133343,0.87458026,1.830011,-0.67828006,-1.3076333,3.1107874,-1.4924519,-1.5720322,-1.7862513,-1.4477977,2.3082438,0.73245865,-0.7263803,3.090241,-2.8290048,2.7298057,1.8150953,0.7172877,-1.8297248,0.34761113,0.6365877,-1.601937,1.5336593,1.5723921,-2.4769797,3.0800216,1.2430307,2.256226,-2.3912127,0.80240387,-0.5801066,1.6986295,-2.7569823,-1.6580924,1.0835124,2.5352027,-2.585043,1.2206936,1.164329,0.8121338,1.3067566,-1.9757222,-2.393151,1.6338052,-2.5560946,0.25467628,-1.0158228,0.008616226,2.6337743,0.10090547,1.8318182,-1.4759796,-0.59461707,-1.8571256,-2.6958227,-0.8187626,1.212498,0.9170332,-3.5485394,2.8250556,-0.6690214,-3.0781803,0.8415904,-0.68146026,-1.3681316,-1.6827427,-1.3092394,-2.6307614,3.3002284,-1.1100609,-3.7953527,-2.3839095,-1.8907473,-0.46468562,-3.096467,1.9196458,1.6888933,1.3541373,-2.6272264,1.9324511,-1.2796669,-1.0070509,1.7389934,2.0970833,0.7051643,0.42688626,-2.0066767,-1.2512854,2.080688,1.0330601,2.2776222,-2.754039,-0.21878178,-1.2608038,0.1669253,-2.0953445,0.85945034,2.2978647,-0.20700645,1.8297983,1.2796954,3.551792,-1.2215415
RRM1,-1.5745939,-1.1140684,0.16889384,1.2965891,1.2306309,0.40190396,0.3898223,-1.8171496,-1.6225318,-0.36797592,-1.7954783,-0.95806295,-1.0452436,-2.0579348,0.7377809,-1.1717817,0.05499309,0.97826976,-0.95972776,1.2671804,-0.78597766,0.28095332,-1.5188513,1.0621188,0.8921571,1.1157285,0.8206058,0.0666308,-1.6233904,-2.0106187,2.0145,-1.3121816,-0.78671396,-0.5840862,-0.48796806,1.0155414,-0.7885008,-1.3199505,0.6197142,-1.4676442,2.1792924,1.6823139,1.0644284,-1.0304353,0.191732,0.746822,0.44744295,0.39808512,1.239671,-0.291234,1.4172472,1.2685899,0.6083772,-0.4513141,0.923951,0.20483372,1.6508175,-0.70646524,-1.1528441,0.7686947,1.1271875,-0.51642543,0.49933344,0.47799712,-0.0365232,0.22279488,-0.015379639,-0.7848653,1.3580009,-1.5717268,1.4093345,-1.488603,-1.6611972,1.5191165,-0.7595014,0.5029542,-1.1034961,-0.45983022,-0.7025556,-1.5430639,-1.2641845,0.9838769,1.1026499,-1.7910334,1.2730213,-1.5893524,-1.811742,0.47954562,-1.0120072,-1.1865834,-1.9213682,-0.8553237,-1.2978444,1.5661877,-1.5847744,-1.2715375,-1.431156,-0.75393087,-0.90848875,-2.2186458,0.78841484,0.19506772,1.3095692,-0.52183807,1.1552267,-0.13506366,-1.1740153,1.4069287,2.1183512,-0.014919588,0.7722595,-1.284314,-1.6048554,0.94995207,1.1381801,1.0046744,-0.8615757,-0.74492943,-0.37788224,-1.1049279,-0.31827858,0.8717672,0.98540205,0.004403584,1.1588876,0.61315227,0.8048698,-0.027444491
PC,-1.7549993,-1.1299497,0.57646614,1.3780968,1.2321978,0.15662836,0.10857673,-1.850438,-1.8816501,-0.7037511,-1.8870958,-1.8840823,-0.6070252,-2.47902,0.68428195,-1.0350692,-0.25562334,1.0377154,-0.6591466,1.9617751,-0.34763238,-0.14579955,-1.9472668,0.8751436,1.52371,0.71431667,1.1573828,-0.3338324,-2.3579006,-2.8765092,2.598263,-1.5741092,-1.2230656,0.015464119,-0.56701523,0.7141178,-1.7737331,-1.6446346,0.35264447,-1.4027342,2.912766,2.2216642,1.3937275,-0.8447373,0.012071177,1.2477208,1.0996966,0.54076576,1.5668331,0.18352765,1.3741994,1.6441863,0.5234749,0.1561022,1.2899292,0.74030876,1.9796602,-0.6230793,-1.4216142,0.6079046,1.2693596,-0.31302053,0.8223262,0.1067203,-0.18454976,-0.06298798,0.47485754,-0.81207657,1.8194993,-1.8292787,1.7547214,-1.9821256,-2.5836415,1.8173393,-1.0720807,0.4160926,-1.2918655,-0.68764335,-0.68499094,-1.9780076,-1.8443959,1.1632144,1.4415872,-1.8351303,1.1206877,-2.2002025,-2.231082,0.44599688,-1.4595169,-1.5482343,-2.3329475,-0.8024875,-1.0785543,1.7412237,-2.52068,-0.9625334,-1.6654317,-0.37598664,-1.542613,-2.7126021,0.58627176,-0.085533686,1.5469952,0.18277389,1.3545488,0.6212245,-1.7985704,1.4899068,2.6963327,-0.27350685,1.4110358,-1.4061455,-2.260459,0.6037464,1.7726277,1.0234345,-0.967698,-0.6539697,-0.04051298,-1.6617006,-0.013849684,1.202992,1.1226475,0.4151047,1.7249215,0.49162915,0.4229617,0.52069944
GOT2,-2.1222134,-1.5593525,0.47568548,1.8929056,1.668921,0.24766739,0.3312492,-2.323899,-2.4066398,-0.9678963,-2.5726726,-2.2198875,-0.8595677,-3.2432535,0.8129975,-1.4194673,-0.11014834,1.3577449,-0.93666285,2.55484,-0.6503721,0.10910259,-2.3694592,1.2229506,1.8758128,1.113022,1.4722457,-0.31487647,-2.909673,-3.5508096,3.3164642,-1.9091533,-1.5514555,-0.18299834,-0.7619461,1.0356201,-1.9468914,-2.035922,0.77212423,-1.9467913,3.5501914,2.8126533,1.6779151,-1.2447691,-0.12177031,1.5618812,1.2724097,0.796457,1.9738959,-0.19247515,1.9152832,2.0766199,0.77455974,0.19205253,1.4267279,0.84110564,2.5073075,-1.0604951,-1.7328737,0.78460234,1.5991853,-0.46313593,0.9617401,0.322446,-0.26149026,0.08365527,0.30437672,-1.0853038,2.3163667,-2.3582425,2.023818,-2.489121,-2.9901974,2.326975,-1.2419616,0.6726435,-1.7013937,-0.8211458,-0.88561255,-2.431115,-2.248609,1.4884434,1.7659227,-2.6024237,1.3827558,-2.790838,-2.8016062,0.5256517,-1.7567068,-1.9682548,-3.0061193,-1.2227437,-1.2886066,2.2897396,-3.1120317,-1.4401863,-1.9491066,-0.51478225,-2.0491934,-3.3834815,0.9750526,0.041156173,1.7306362,-0.065439135,1.5252204,0.7129268,-2.2051308,1.8850642,3.3858635,-0.35953078,1.8484998,-1.870879,-3.0120137,1.0502738,2.1004379,1.2963182,-1.2967063,-0.7404658,-0.02972181,-1.8263022,-0.13867456,1.2821763,1.4121878,0.36388496,1.9998193,0.70480806,0.6186397,0.596391
UBB,-1.150966,-0.9470037,-0.14651728,0.8985681,0.95512,0.45018312,0.38738954,-1.1469415,-1.2486823,-0.2270105,-1.3700894,-0.18790132,-1.1500216,-1.3671598,0.97749335,-1.0826342,0.22755994,0.701777,-0.95421857,0.70227104,-0.85798544,0.39958405,-1.1499567,0.74169284,0.34782916,1.3040305,0.5091946,0.40622696,-0.9015874,-1.1328055,1.4042908,-0.91446745,-0.5606923,-0.7758464,-0.6872654,1.012834,-0.09931602,-0.78933233,0.76828724,-1.2362726,1.1296154,1.0909214,0.50316113,-0.82244885,0.22418033,0.5436712,-0.21416214,0.30356666,1.0580529,-0.68816805,1.0495303,0.8498761,0.5525988,-0.7298708,0.62508243,-0.2458238,0.8078694,-0.6961635,-0.70288664,0.7588081,0.87070566,-0.6131162,0.44507033,0.5705273,-0.013281079,0.36378172,-0.37596467,-0.7518938,0.86235595,-1.2158873,0.7111377,-0.95226115,-0.6806709,1.1283365,-0.3399188,0.7398005,-0.95732063,-0.37567115,-0.67930573,-1.1856622,-0.6911023,0.73431283,0.56364256,-1.4398576,1.1110848,-0.889596,-1.2096025,0.6448313,-0.633678,-0.43130052,-1.1712142,-0.6320201,-1.2573066,1.2154233,-0.8122014,-1.2287674,-1.1904262,-0.69106644,-0.5854409,-1.5434419,0.6933707,0.44086045,0.87446225,-0.9055333,0.71652,-0.37007442,-0.7049319,1.0481513,1.4685278,0.23525421,0.43316242,-0.9468839,-0.9162017,0.7848452,0.64989185,0.84628576,-0.93658257,-0.51783997,-0.47318056,-0.53416556,-0.40817377,0.50521725,0.7815861,-0.30343923,0.78148377,0.7119585,1.0681919,-0.14959387
BCL2L1,-2.6579654,-2.6392803,-0.8454151,2.717628,2.1571307,1.8464513,1.7546599,-2.9420984,-2.9804342,0.60264957,-4.413379,1.4712133,-3.815992,-3.3487453,3.6229963,-3.933045,1.4677967,2.3036532,-3.4277313,0.92476827,-3.6014712,2.148608,-2.1903915,1.7764167,-0.09969884,4.9801135,0.5801434,2.8044348,-0.40807638,-1.0747622,2.7012253,-1.9991269,-0.7941057,-3.3890078,-2.0030768,3.7650833,1.7754718,-1.1292601,3.157066,-3.7137053,1.9495971,2.1482153,0.31267667,-2.9294176,0.8391775,0.75919133,-2.815311,1.088957,2.510561,-3.6038866,3.379686,1.5735515,2.2816765,-3.3953388,1.1932694,-1.5579543,1.5444473,-2.726237,-1.6963404,1.8046476,2.1940563,-2.6566656,1.068239,2.1764655,0.6768949,1.9770865,-2.1933446,-2.3400576,1.5284468,-3.5044074,0.62471634,-1.050564,0.20841499,2.73267,-0.23735212,2.2949176,-2.0220082,-1.0138308,-2.3108952,-2.8701172,-1.0326364,1.5108368,0.98516744,-4.6396127,3.2533414,-0.7251137,-2.550138,2.0882607,-0.944764,-0.3111233,-1.55166,-1.6940109,-4.1963463,3.6197503,-0.29397008,-4.3742695,-2.7255044,-2.516478,-0.009450629,-3.3017619,2.503105,2.3962708,1.8831815,-3.9174194,1.9033061,-2.4676747,-0.7992516,2.4896984,2.5575426,1.6903665,-0.535232,-2.15187,-1.0204192,3.1842477,0.49384022,2.5572085,-3.5992265,-1.1228148,-2.329358,-0.01913447,-2.3011873,0.9045348,1.9470608,-1.6233445,1.5532247,1.8939806,4.455716,-2.114835
