,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
ABL1,-1.8300139,0.8363359,5.2677913,-1.0262449,0.76382375,1.5370593,0.079632275,-1.3660703,3.0308964,-4.6198254,-3.9109368,3.4560232,-4.2151265,-1.3071281,1.3441523,-1.7043306,-1.3435978,-0.59273237,-4.9942937,-3.0879128,-2.2200308,3.581563,0.9036032,2.7512753,-0.333712,1.5315299,3.6768975,-1.479817,-6.983518,-4.076543,0.83087724,-3.2443583,5.2543926,0.9304303,1.7704351,5.35804,-6.089452,-1.7270507,2.682585,-3.0079596,3.5987473,4.2126203,1.927696,-1.5831268,1.9075719,0.43979558,0.2633274,-1.8897839,1.062581,-2.7693028,3.2430599,1.2592773,1.4199781,-0.7423465,1.4986765,0.8499628,2.4017372,-0.3335245,-0.007967236,2.948666,3.3593974,1.4350533,-1.1965142,2.6359427,-1.5374668,1.8158555,1.5864813,-2.9836378,-0.8526561,1.9127016,4.520539,2.8597624,0.39122725,6.1625853,1.6479268,2.678159,0.62415665,-2.5138888,0.000801996,-1.1701885,-2.011945,-1.4436418,-0.98160803,-2.910613,-1.9070023,-1.1320837,-0.67590076,0.32487503,1.2627184,1.238926,-2.9105303,1.0867064,0.8489651,2.1518567,-1.9470147,-4.051754,-1.6121132,-1.5419134,-3.478678,-1.1506461,4.774628,3.626003,0.959809,2.4384608,-1.4021513,2.9871552,-2.5972512,-0.63923687,1.1330603,2.9517243,3.3922756,1.513271,-3.1577976,2.2874973,-0.31233254,-0.004647297,-3.0585759,1.0981961,3.3318806,-0.32838613,2.5514228,4.232432,3.4322193,2.921562,2.783692,2.9258218,3.226175,-1.7228259
AKT1,-0.5922095,-1.6176207,2.6535025,-0.95547503,2.2097495,1.0384809,-0.28345737,-2.037157,2.9728909,-4.6903977,-3.9416387,-0.7328353,-1.986079,-3.6212816,-1.6226618,-3.9290376,-0.3031916,-0.6630282,-1.6962644,0.5973832,-1.2037363,3.7847805,-2.937354,1.7630733,-0.26814577,3.6430945,3.217665,-1.5568868,-2.267307,-1.4382375,2.3345177,0.6638907,-1.240855,-1.5552177,1.1660684,0.56156874,-3.6050284,-0.031181347,2.5052001,-2.7531128,1.489226,2.6509209,0.25040057,-2.1851468,-0.750436,1.4898025,-0.4414632,-0.22891913,0.9042315,-3.0040917,3.363583,0.37296653,-1.4884483,-1.1914891,-0.2757659,1.6678008,3.0440433,-3.5841038,0.14540744,0.7401123,2.3922725,1.9543756,-0.123299964,0.44680104,-1.4857942,1.6372249,-2.2425854,-2.2215261,4.308804,-1.4352486,1.960953,-0.1856881,1.4934626,1.9675221,2.3089771,-0.82135594,0.09277951,-3.057465,-0.9658621,-1.1037114,-0.190226,-1.0723577,-2.3418117,-3.5061848,-1.2218219,-2.0204523,-3.4685907,-2.104451,1.1993015,0.9533979,-2.8490367,1.1125057,-2.1350145,1.818393,1.7690153,-2.5544057,-3.1984499,0.2751882,-1.3139304,-2.5600824,2.1220164,1.5952606,-0.23623513,-0.119276576,-0.623929,1.437198,0.52774334,-1.3080887,1.568011,0.33488426,1.9841139,-2.2942924,-0.68936443,2.76994,2.5374296,1.3677248,-1.1359036,1.2889582,-0.43727034,-0.18660152,1.838482,4.6077943,3.9083402,3.552869,-1.6353629,3.0533137,3.2656417,-0.51770115
PTEN,-2.4206927,-3.6438355,1.735272,0.24401179,1.9909612,1.661655,0.37042406,-1.04655,0.39959028,-3.2914155,-2.7198129,-1.6611272,-2.4909947,-5.6112328,2.0820284,-2.9008608,1.5945076,0.66241604,0.247466,1.3900058,-1.9871231,1.3219864,-1.601183,1.0445584,-2.0826418,3.4640121,3.1297157,-2.7364142,-2.8369646,-2.5779223,2.642915,1.1767585,-0.91784364,1.5970347,-0.9288399,-0.8979498,-3.0605,-2.7775457,2.2661328,-3.6172683,2.3308578,2.1776423,0.8188208,-0.43431607,-4.0120726,1.2481073,1.2916895,1.2692059,1.3597051,-3.7337582,1.366395,1.1411163,1.9610213,0.12745595,2.3590338,-0.6987612,0.9334987,-1.8271654,-1.0791055,0.89659554,2.1487806,-1.0420045,-0.006295453,2.474137,-3.5183914,-1.548944,-1.1370907,-0.1288739,1.5303298,-3.6220634,0.2867335,-0.8438673,2.3295097,3.0815637,3.0807998,2.0901148,-3.5815523,0.22682308,0.6817215,-2.9571176,-0.8592797,-3.396841,-0.8718811,-1.3684952,2.1758683,-1.5266547,-3.6905346,-2.7604737,-1.5128568,1.9409673,-2.1192672,0.0749741,-2.0446002,3.2077096,-1.439622,-1.5877414,-4.858687,-0.4898761,0.2949871,-2.9811594,1.4339085,-1.4884237,-1.9111385,-1.8542838,0.18567802,-0.556631,-2.5768592,-0.73439044,5.3499255,0.9324799,2.7951438,-2.7152371,-1.1392046,1.9222214,1.3409854,3.5026674,-0.82912326,1.1094886,0.3993812,-1.7438633,-0.14158629,2.107147,3.210479,3.604676,-0.18253697,2.5314665,4.4618354,0.89983255
BCL2,-1.7046698,-2.3974488,2.3174133,2.498935,2.052503,1.8722345,2.4613106,-1.9963189,1.257279,-0.4114276,-2.396182,-0.9570576,-1.5212588,-3.1357954,1.4479332,-3.2771916,-0.09718453,0.36217383,0.49556655,0.7064959,-0.8399703,1.1257782,-2.3700294,0.10212522,-2.8338168,1.8016275,0.9500214,-2.3832626,-1.8952996,-1.0566005,1.564981,1.0739275,-0.030218733,0.08569295,0.110926285,-0.15884335,0.3393791,-2.2949617,0.6130449,-2.7017763,1.6794893,1.6661701,-0.37963572,-1.6160905,-2.3104758,1.7611815,-0.45304775,1.16336,1.4459255,-1.9980814,2.8866332,-1.4061117,0.41627526,1.5501527,0.57653576,0.3159151,2.5627837,-1.5936223,0.22120124,1.2086964,0.4579906,0.6552654,1.3137674,0.25382757,-2.0977237,-1.5113561,-1.5156467,-1.2505146,1.3116931,-3.7230217,0.15276355,-1.8144631,2.1416433,1.6773161,1.2998772,-0.6330139,-1.8041347,-0.19103351,2.1434736,-0.8258098,-0.9197698,-1.8324213,-0.4257566,-3.0885324,-1.6521019,-0.72178614,-3.3369195,-3.0576177,0.4651195,0.4355893,-2.04619,0.54564774,-2.5589786,2.3192153,-0.8883863,-1.5692114,-2.6347964,-1.6941401,1.0629624,-2.701166,0.078340665,-1.2226115,-0.90117675,-3.2525463,1.4030805,-1.1271797,-0.41180247,-0.53147227,4.3566275,1.5252405,0.8658872,-3.6945233,-0.97162944,1.8558811,2.3366916,2.1147323,-1.1912068,1.0937796,-0.89977014,-1.8993813,0.69431883,1.7410755,0.17915483,1.4711128,-2.789076,0.7958105,2.1152692,-0.6104769
JAK2,-2.6157491,-0.6893276,3.1621654,0.46149173,1.8289231,1.2762249,0.3305695,-1.7641947,3.7114089,-4.533179,-4.6998,0.59200186,-3.395993,-3.051439,-0.49700877,-1.1405383,-1.3527546,-0.002300892,-3.8411064,-0.6391574,-0.8076385,4.348346,-3.1385908,3.6997404,-1.9164791,2.0876114,0.41180238,-0.38699704,-1.5375321,-1.5620999,2.3435938,0.39199015,2.8976295,0.28715366,-0.46964663,3.6209004,-3.1314855,-0.59773237,1.7722038,-2.2401187,2.1063402,2.7519157,0.5508279,-1.5020177,-1.5330766,1.8730533,-2.990537,0.46789613,3.2477698,-3.2770236,3.2737906,0.42365935,1.9826021,0.6975235,0.30643153,0.21359411,1.0433154,-2.5395918,1.0134525,2.5512333,1.4852674,0.21145242,-1.0130858,1.2033771,-0.9841888,0.5374392,-0.044544064,-4.446993,2.6819339,-0.51519406,4.1740117,-0.7039249,2.8284237,2.264586,0.5279713,1.8968879,0.440911,-2.6443627,0.26236627,0.06378704,-1.5484937,-0.24830611,0.5617478,-4.259759,-1.9352363,-0.89463747,-2.834256,-0.49121583,1.1103444,0.37401742,-1.1877943,2.2785265,-1.3685445,3.6331658,-0.7705706,-3.1471655,-0.95632607,-0.5099056,0.19220719,-3.3662064,3.531261,1.3017895,0.6569832,-0.24465789,-0.40884408,1.4723189,-0.9037825,-0.22894487,3.7036607,1.100363,0.68954414,-0.29322398,-1.21332,2.3785217,2.257353,0.83036065,-2.9827309,0.5289837,1.6418158,0.7480355,2.0032973,2.477942,3.767827,4.584042,-1.8704661,2.6277108,3.5254931,-2.9150736
RRM1,-1.7060763,-2.319172,1.1303753,1.2525445,1.7981688,1.2042326,0.84160095,-1.0883319,0.8804025,-1.9615587,-2.1109958,-0.88670754,-1.2801785,-2.8546333,0.69927055,-2.047154,0.32830116,0.458922,-0.17213483,0.54976094,-0.9024643,1.4614632,-1.6832632,0.52208245,-2.0637977,2.1687434,1.0878373,-0.9707207,-0.47164446,-0.75502104,1.8893479,1.3574468,0.07686214,1.0949862,-1.101131,-0.63485146,-0.9762738,-0.98961216,1.2597461,-2.3184419,1.3367201,1.4002581,0.33089808,-0.6991948,-2.7336097,1.1842568,-0.15705167,1.089948,2.0798712,-2.5728781,2.0061738,-0.45133188,1.2778625,0.28740728,0.5374642,-0.58077466,1.0431556,-2.1004455,-0.33744955,0.391071,1.0783948,-0.3177026,-0.17045054,1.3533599,-1.5895189,-0.75070745,-1.0834652,-1.2995665,1.4847013,-2.6359055,1.0741796,-1.3531474,2.0856385,1.5694393,1.4288026,1.7260923,-1.6538831,-0.87241066,0.281345,-1.3167323,-0.5133838,-1.4417443,-0.6051177,-1.6289115,-0.112710536,-0.8940201,-3.3180447,-1.5038679,0.107834116,1.2865173,-0.7227459,1.0124955,-2.1322596,2.2367966,-0.35386777,-1.3881325,-2.5541866,-0.31594434,1.4075558,-2.11448,0.99450165,-0.8312401,-0.8979679,-1.7594626,-0.017104398,-0.6035374,-0.97447395,-0.8458492,3.1274588,0.5642984,0.9870176,-1.5692581,-0.5218509,1.400501,0.9225793,1.8051068,-1.254157,1.0234607,0.30661103,-0.40202004,0.29648235,1.3317257,1.9275287,2.9116611,-1.0743214,1.4269639,2.8466487,-0.7362323
PC,-1.7077614,-1.9937737,1.6467965,1.539377,1.3942915,0.84175974,-0.092850216,-0.6390663,1.2602185,-2.108703,-2.5105324,0.002023925,-2.2870352,-2.6092947,0.7046322,-1.8134618,0.3962016,1.124913,-0.49788994,0.010655319,-1.208562,1.1180472,-1.7135518,0.9883431,-1.6660619,2.1714697,0.71634924,-1.0233516,-1.1388984,-1.4830279,2.1396506,0.72385937,0.84668124,1.0498872,-1.0668268,0.13130052,-1.1823647,-0.9115285,1.6580452,-2.6398063,2.500055,2.1064126,0.278447,-1.3062998,-2.1354983,1.2479634,-0.1961453,1.4107524,1.8297299,-2.549107,2.6112897,-0.8075329,2.3323522,0.96325606,0.12167435,-0.9775046,0.9965578,-1.6362481,-0.9853538,0.60556424,1.5709152,0.02567541,0.34075245,0.90130395,-1.6117646,-0.99096286,-0.5228074,-2.7841032,1.2520562,-1.6608894,1.6025375,-0.8960201,2.244822,2.0705793,1.4167069,2.5580661,-1.455607,-0.9791312,1.1395655,-1.483453,-0.9586925,-1.3027871,-0.05339558,-2.3853137,-0.3819624,-0.67032176,-3.390008,-0.9326258,0.05539988,0.8977854,-1.1762716,1.2547121,-1.4434093,2.5710797,-1.0868338,-2.6598327,-1.7459202,-0.58672917,1.54235,-2.5411966,1.4538757,0.07372214,-0.6258419,-1.9007487,1.0740094,-0.92122597,-0.93701446,-0.46549153,3.435235,0.6572164,1.5433084,-1.1164477,-1.2055719,1.5357937,0.9068426,1.1028916,-1.6958486,0.8367933,0.6313686,-0.105386324,1.0656797,0.08024909,2.63082,3.1860192,-0.9324148,1.6374098,2.336374,-1.241038
GOT2,-0.5641537,-2.3691158,1.0281898,-0.10663079,0.3760434,0.2994869,-0.25925344,-0.49320653,-0.53283554,-2.3504448,-1.2973698,-0.68051624,-1.4133656,-3.3471572,1.0865784,-1.210338,0.98558944,0.3366513,0.23703764,0.47431365,-0.10682246,0.49225846,-0.7220292,0.73994726,-1.2042489,1.7861398,1.4826365,-0.9194386,-1.0044926,-1.9009321,1.7044233,1.3990382,-0.13906513,2.3082297,-1.3016028,-0.37076613,-2.0932622,-1.6925853,1.2357007,-1.3574538,1.557394,0.9648896,0.25013041,1.2028377,-2.7485304,-0.11897818,1.0533106,1.4058942,1.0629388,-2.4064488,0.08139099,1.8882198,2.0162933,0.51065373,2.0430024,-1.9922394,-0.5508446,-1.1982986,-0.4760203,0.37067586,1.7387782,-2.2515042,-0.50667155,2.5903792,-1.645547,-1.4671366,-0.8023608,-0.43018684,0.8994677,-1.5655336,0.16933373,-0.001182859,1.9513804,2.295742,2.415677,2.606559,-1.9477433,0.22160675,1.3061119,-1.3916913,0.38151598,-2.1479874,-0.52515244,-0.7834887,2.0495336,0.19562833,-2.0145226,-0.87565625,-0.9994565,1.7763145,-0.8309266,-0.10060897,-1.1915973,3.3309164,-1.1645727,-0.78232497,-2.4879777,-0.13195838,1.1881952,-1.0511011,1.2891227,-0.9254317,-0.8006369,-0.09646968,-0.85943663,0.25233075,-2.1435468,0.32492694,2.9614265,0.45790166,1.3880863,-0.9582335,-1.0886415,1.225055,0.7613549,2.4709966,-1.4314457,0.30241498,0.1494172,-0.8397843,-0.6065326,0.68428355,1.9810854,2.674709,1.1680794,1.7031224,3.8146467,0.4161328
UBB,-0.80544335,-1.7345135,1.447711,1.3649254,1.0361158,1.0815433,0.4594218,-0.66629255,0.35585588,-0.43145517,-1.412151,-0.20735662,-1.6796426,-2.302861,1.6608768,-2.1764061,0.8456298,0.57202536,0.49944153,0.25473365,-1.135862,0.16938691,-0.76125145,0.071917675,-1.6161333,1.7992662,0.8652881,-1.6945175,-2.1293156,-1.1310283,1.2402278,0.06641286,0.08005984,0.48270157,-0.16865854,-0.18123369,-0.6450984,-1.5471258,0.5228661,-2.6123488,1.8883681,1.3799394,-0.17897902,-0.92389256,-1.7153088,0.35830328,0.7454747,0.92277765,0.61482483,-1.3724482,1.5291054,-0.2992945,1.1730253,0.68873584,0.7239917,-0.88895607,1.3899041,-0.30411398,-0.8611048,0.70772785,0.6969121,0.03400109,0.95081514,0.93403345,-1.9637688,-0.96004796,-0.6428732,-0.81802464,-0.4024332,-1.7916641,-0.37492275,-0.4634422,1.0326515,1.6785438,1.1205157,0.7827762,-1.6592578,0.07223512,1.5636907,-1.5497837,-0.6570575,-1.8868206,-0.24235277,-1.6213813,0.12454055,-0.20923486,-2.1114573,-1.725448,-0.53509814,0.8111014,-1.185706,-0.56149614,-1.0453261,1.6147969,-1.1956432,-1.7910744,-2.031928,-1.2191347,0.705284,-1.7750651,0.3817078,-0.5844513,-0.6960067,-1.6723307,1.4160686,-1.1112099,-0.57182974,0.26586154,2.426207,1.0984558,1.47494,-1.9916968,-1.0520092,1.1938776,1.3366487,1.4695321,-1.0953453,0.6308046,-0.16475096,-0.94998264,0.83650434,0.35075605,1.0395416,1.1152964,-0.42177182,0.65336597,1.8279108,0.107547656
BCL2L1,-1.7926502,-1.5661471,1.7661954,1.5543565,1.6101253,1.5245935,0.9961996,-1.4889284,0.86906236,-1.0271899,-2.1724963,-1.017738,-1.2069361,-2.8823857,0.984744,-1.9979463,0.49140194,0.3894951,0.14952788,0.8352516,-1.0751632,0.8829782,-1.8895985,0.019495655,-1.740702,1.531406,1.1985012,-1.0479242,-0.9246774,-1.3120104,1.6521604,1.4137934,-0.45643073,0.67793036,0.04219024,-0.49680558,-0.08615062,-1.6229947,0.9339476,-2.0001595,1.907937,1.5232251,0.05152021,-1.3569299,-2.385297,1.5718598,0.3609912,1.1743909,1.4359046,-2.042044,2.2131643,-1.1559639,0.7104061,1.4232107,0.38535064,0.6210843,1.5087796,-1.5183389,-0.36815894,0.6125954,0.42367178,0.41410744,0.74261177,0.40074873,-1.8424908,-0.8267464,-1.1162009,-0.81395656,1.5540515,-2.9750452,0.35199267,-1.3875959,1.4592607,1.3779773,1.3042008,-0.06946214,-1.9485396,-0.7086973,1.210876,-1.6924453,-0.6935244,-1.9060028,-0.99204236,-1.9674402,-1.087745,-0.92579,-3.1683831,-2.3158948,0.53928125,0.5998397,-1.5404223,0.6330968,-2.5260403,1.6636372,-0.35959068,-1.3573234,-2.0997407,-0.96799517,0.96503466,-2.0052545,0.29568616,-1.2516271,-0.81587994,-2.4721408,0.84481144,-1.0255384,-0.70642954,-1.0529952,3.4987757,0.5817438,0.9303195,-2.3365898,-0.83552146,1.216338,1.1044968,1.6075935,-0.5014446,0.7609383,-0.34986606,-1.4961956,0.32691503,1.220146,0.35254976,1.9723924,-2.0147254,1.4054412,1.744577,-0.17835118
