,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
ABL1,-2.0353792,-1.8193083,1.8634233,2.0649593,3.1248493,1.67554,1.5020008,-1.8981484,-1.363065,-1.1244417,-2.9666047,-1.0578537,0.08623428,-1.3358867,1.6864202,-2.729125,0.9440001,1.3258375,0.137124,1.2551615,-1.5563391,1.7204535,-1.963341,1.1141742,1.6734519,2.438473,0.58800304,-1.6876405,0.20316972,1.6505575,2.3758607,-2.0710185,-0.3117317,-1.4219329,-1.6100813,1.4704114,1.8746244,-1.7885036,1.8316286,-3.2807562,2.1487212,1.2165378,0.6912322,-2.7615395,-1.6296954,1.6590973,1.9294418,1.2720737,1.1829147,-2.3344078,2.2821665,-1.4342791,2.049438,-2.309391,-0.9370167,0.86672175,1.9403474,-1.812925,-0.9203351,0.9054451,2.0238655,-1.5510287,1.3259791,1.4450071,-2.489401,1.679503,-1.1132323,-2.6660523,1.5329996,-2.874769,1.1252652,-1.6085259,1.9044858,1.3717531,1.4746137,1.3597094,-1.6264362,1.7804072,0.36768124,0.5659059,-0.7122939,0.8935074,1.8928051,-2.7437398,1.6008135,-1.1582459,-2.8631897,-1.4320648,-0.8521602,-0.9264605,-1.0585288,0.88648957,-1.747615,2.7450836,-1.3903117,-2.6745224,-2.2473664,-1.5033042,-0.6749322,-3.5563607,2.0141423,-1.8041391,-1.1634967,-2.2268534,1.1961142,-1.5937487,1.2142951,1.7769486,2.9447007,0.9443015,1.4174526,-2.2380757,-1.2703642,1.5773196,1.615748,1.8558339,0.40236667,0.54673064,0.6606298,0.2240872,0.65262127,1.1168264,1.3133167,2.4386697,1.8152299,1.3081008,2.1130373,-0.8595414
AKT1,-6.318128,-4.272291,3.664569,6.3673224,9.157817,5.275022,5.5949802,-5.3228855,-0.6648381,-3.4718542,-7.078573,-2.7506862,4.477342,-3.845829,4.3230433,-5.979138,1.6277869,0.9773104,0.29950193,2.9291244,-4.29194,4.362491,-6.0898533,3.7003977,1.2540933,4.0238247,1.054401,-0.5701175,0.80852026,5.5074124,5.799222,-5.4607363,-1.0560521,-4.0953465,-5.404109,2.7702253,2.23606,-1.7209289,0.11772893,-10.431427,3.5790153,0.05139999,-0.7734234,-5.661264,-5.134811,4.1729965,7.1050906,3.5504808,3.5487247,-5.6141095,4.4394636,0.58711636,3.9282088,-6.639755,-3.9101844,0.7749399,7.4865313,-5.4797378,-4.535854,0.8048247,5.6948175,-2.3639402,2.4641628,4.6824346,-6.1545405,5.7727337,-3.5401785,-7.067014,1.061562,-6.091686,1.9407405,-2.9091704,4.2346163,2.8998582,2.2337296,3.6035483,-3.2962742,4.059974,-2.129023,3.4220495,-1.3637727,4.409749,5.569903,-5.782786,2.3002183,-1.1754514,-2.5518148,-1.670664,-1.8677472,1.2190415,1.4045538,2.405666,-2.020375,5.492005,-1.2972927,-4.3867083,-7.533918,-0.69652224,-0.237675,-8.272872,4.4938917,-6.125636,-1.5237894,-4.903489,4.7510614,-2.9218805,4.6252675,6.7597423,6.7367477,3.0200381,0.5456507,-3.036274,-3.287277,2.2256284,4.6443405,3.779332,0.7947771,0.41017553,4.326046,1.4803241,3.9989336,6.189521,4.717121,1.4701595,3.3660104,-1.6101305,5.939251,-2.9758775
PTEN,-3.18663,-2.289393,2.0446534,3.4009452,4.946627,2.916092,2.8707528,-2.8320744,-0.19429842,-1.7271719,-3.6250935,-1.4798268,2.0027194,-2.3203874,1.8190832,-3.607173,0.72954875,0.99473983,0.3227158,1.6511573,-2.448035,2.567189,-3.0391867,1.9433159,1.0595759,2.6242867,0.46465963,-0.6407923,0.31646082,3.126515,3.1171932,-3.331346,-0.4147611,-2.4648771,-2.6410441,1.8672811,0.9161471,-1.0445181,0.44458792,-5.207757,1.9122833,0.7859184,-0.10397215,-3.1595705,-2.231922,2.2929535,3.31964,1.9734492,1.4889151,-2.8067634,2.6155453,-0.33802646,2.2824368,-3.5968964,-1.8133109,0.40031734,3.6553893,-2.7970288,-1.9462618,0.7326519,3.065481,-1.3884714,1.6073303,2.365737,-3.3170786,3.0641587,-1.8611444,-3.6333823,0.81619537,-3.411206,1.4570215,-1.7654349,2.231773,1.604836,1.4726889,1.8918365,-1.6945171,1.7192655,-0.99685585,1.2708654,-0.7421626,2.2858562,2.8600433,-3.304077,1.4509252,-0.6308381,-2.0193741,-1.1255393,-1.0595317,0.34253564,0.15330261,1.4616143,-1.3119912,3.2578566,-0.92484367,-2.7690482,-3.9731438,-0.72536206,-0.054017555,-4.8300347,2.3052857,-2.9090135,-0.9814429,-2.9750938,2.511532,-1.6985315,2.275076,3.2294714,3.8678088,1.6964796,0.3445924,-2.1780384,-1.6882299,1.3597298,2.338259,2.0838077,0.468548,0.04660626,2.144146,0.6225381,1.6615309,3.2379186,2.3710918,1.2764907,1.7597945,-0.5288912,2.9618626,-1.7735317
BCL2,-0.9600252,-1.4108524,1.2792957,1.6985359,2.126879,1.0016345,1.1421502,-1.4185265,-1.0227388,-0.71056116,-2.1928642,-0.9320811,0.11058435,-0.93527275,1.1269534,-2.0542579,0.8122683,0.97103965,0.05554695,0.8582466,-0.69487613,1.2510468,-1.3725733,0.32862234,1.6332597,1.4883896,0.46652052,-1.3763188,0.71689975,0.8906741,1.9863673,-1.3021289,-0.4125507,-0.72820264,-1.1343664,1.007594,1.6977527,-1.2862633,1.4149783,-2.3953428,1.7801827,1.0552516,0.1033193,-1.7525374,-1.4686238,1.1669823,1.4777895,1.2080947,0.3311373,-2.0371614,2.0011983,-1.2203602,1.9053643,-1.4937031,-0.58728456,0.46026576,1.1873155,-1.7380933,-0.58994573,0.36477315,1.3575083,-1.0765798,1.1391573,0.78025043,-1.4144392,1.5909789,-1.3316125,-2.4321985,1.0014608,-2.3218763,0.6048205,-1.6281234,1.2801054,0.98135215,1.2754352,0.86432403,-0.97046137,1.4459509,0.33170366,0.3351074,-0.46990567,-0.039447065,1.411651,-2.464197,0.88506746,-0.6854684,-2.5784664,-1.1174529,-0.53908724,-0.6126695,-0.9016402,0.68163943,-1.7099903,1.8542757,-0.97633255,-2.7550054,-1.5094863,-1.0645092,-0.7228526,-2.3216004,1.4880397,-0.79514456,-1.079612,-1.9663012,0.50103563,-1.2174643,0.78480625,1.08219,2.14573,0.55760163,0.7794319,-2.0264893,-1.1172497,1.1635176,0.901745,1.1511517,0.011625288,0.4418904,0.7283592,0.21533307,0.2011024,0.22393815,0.85183734,1.9337207,1.2268223,1.1827332,1.7379417,-0.5234101
JAK2,-3.9414306,-6.692825,4.8754344,8.063425,9.340527,5.057364,5.1186028,-5.4699287,-1.0773023,-2.1391594,-6.853038,-3.9263554,3.8966463,-3.7227364,3.034586,-8.380088,2.1441126,1.2762431,-0.5212631,3.1953316,-3.4332795,6.281941,-5.8572216,1.943989,5.967291,5.3110123,0.7020348,-2.9098487,2.5916462,5.4704585,5.627505,-6.913381,-0.59067196,-5.3679476,-5.023182,2.2044833,4.0798807,-2.4672978,3.4615257,-9.691328,4.0641394,2.1832507,-0.53956467,-7.10642,-3.004275,4.751361,5.847042,4.1580524,1.320866,-7.1042905,6.6332755,-3.642356,6.080761,-7.7714453,-2.3893838,0.6627265,6.311422,-5.4012885,-2.1748018,-0.34132272,5.9632072,-4.0631227,5.0947337,3.2867558,-5.611608,7.024937,-5.6552153,-8.544245,2.0445824,-7.6221294,2.805015,-5.0452037,5.192153,2.767403,3.755799,2.7835011,-2.4732163,3.5317736,-2.5328352,1.0511923,-0.69306636,2.532126,7.233016,-8.847445,2.1646543,-0.87991065,-7.2984776,-3.671934,-1.8600184,-0.7963486,-1.1924809,1.8175399,-5.677351,6.4476104,-1.878241,-9.059379,-7.541105,-3.1986651,-1.0556631,-9.106908,4.25531,-4.315538,-1.8841705,-8.209493,2.9725156,-4.872948,3.123652,3.5626273,7.808807,2.484009,1.7470764,-6.9549556,-1.3909506,4.259006,3.1806593,4.0507293,-0.055457547,-0.9535286,3.0100021,1.3424851,-0.16583659,3.3956306,2.870947,5.417416,2.7455103,2.7974777,6.2129455,-3.1577663
RRM1,-0.559051,-0.23932104,1.1799849,0.6838302,1.0887161,0.28787452,-0.26550904,-0.6977767,-1.2940696,-0.888301,-1.4146159,-0.16004823,-1.2234715,-1.118629,1.0257301,-1.3599745,0.73701537,1.4448034,0.60381484,0.5817771,-0.6375232,0.105401576,-0.9427439,0.34899718,1.3101907,1.0644432,0.7750782,-1.6636606,-0.7452208,0.018362608,1.3735868,-0.6642919,-0.5825994,-0.68317825,-0.2988982,1.009783,1.02289,-1.1495441,1.3657258,-1.0918071,1.6678786,1.4171091,0.97157735,-1.2282202,-1.0063549,0.73379576,0.74823034,0.52149737,0.2966228,-1.2227747,1.3706897,-1.03336,1.0215527,-0.8566003,-0.25190598,1.1682225,0.501912,-0.69857025,-0.16425493,0.7271376,0.6989401,-0.9469864,0.5478926,0.73448324,-1.3961551,-0.031691812,-0.24093989,-0.71166193,0.99052894,-1.33472,0.8161676,-0.59569216,0.69474834,1.0314064,1.5312352,0.6888373,-0.79024523,1.109876,1.1204842,-0.02059453,-0.51662344,0.075807944,0.4518516,-1.3545115,1.4435481,-1.3477275,-2.0320091,-0.87609434,-0.63883555,-1.1346419,-1.6760107,0.6554396,-1.1763736,1.6779819,-1.2398807,-1.5890179,-0.9509104,-1.1430176,-0.764794,-2.0290043,0.93944514,-1.0010508,-1.2456608,-0.62687355,0.5621366,-0.75630057,0.11668808,0.80275214,1.8593903,0.48693404,1.3952658,-1.2617649,-1.0540496,1.1263366,1.1493036,1.1323547,0.95747465,0.80097574,-0.36847296,-0.65594506,0.484969,0.33699182,0.31649724,2.0207257,1.1908772,1.3677484,0.7851393,-0.021177132
PC,-0.3584257,0.11605953,2.7325618,0.8980381,1.5871333,-0.08763737,-1.5253788,-1.1067973,-2.9918876,-1.732468,-2.4007325,0.4485394,-3.7184908,-2.3322358,1.9703772,-2.2419605,1.7121437,3.484126,1.3638926,0.8798664,-1.0286984,-0.45062223,-1.2985556,0.15171927,2.8453734,1.959778,1.7251791,-3.7065356,-2.0563707,-0.612327,2.8358815,-1.029814,-1.1924682,-1.1454351,0.016291853,2.2172966,2.2492347,-2.321468,3.0476904,-1.606351,3.8987248,3.4747334,2.3579383,-2.310631,-1.8525754,1.2246001,1.045171,0.9325466,0.15575708,-2.2143369,2.6256137,-2.6558867,2.3153734,-1.070311,-0.18461393,2.630665,0.13226788,-1.1586832,0.040004306,1.5772321,1.0211935,-1.7829884,0.8847406,1.1795645,-2.2825067,-0.8266393,-0.14260666,-0.929398,2.0326529,-2.019847,1.5661451,-0.7844823,1.3321837,2.2945898,3.6848044,1.4876924,-1.395167,2.197643,2.7644615,-0.16829962,-0.6893716,-0.43168482,0.24807052,-2.4810483,3.3800535,-3.128997,-4.628055,-1.8063397,-1.2840352,-2.861111,-4.218303,1.49545,-2.4596465,3.3222227,-2.613605,-3.4109461,-1.2537277,-2.7496905,-1.7400006,-3.7593212,1.6351001,-1.8196517,-2.9702833,-0.6550588,0.747434,-1.3699336,-0.52090406,1.38255,3.5256233,0.91766083,3.30537,-2.4289198,-2.426655,2.3940094,2.1250322,2.0923471,2.3601549,1.7245765,-1.4463866,-2.0378716,0.89180636,0.20352466,0.14359795,4.7757883,2.5970094,3.2196581,1.2377163,0.2546729
GOT2,-0.3833285,0.09465897,2.086099,0.6500366,1.2169293,-0.0727712,-1.2659461,-0.9431299,-2.5032604,-1.4259659,-2.013529,0.35560614,-3.0255077,-1.9257225,1.6944913,-1.8482733,1.4337472,2.74343,1.0779976,0.6626528,-0.797879,-0.44491327,-1.0378436,0.1530137,2.28146,1.5454513,1.316036,-3.0178218,-1.6168534,-0.56944126,2.1203694,-0.720115,-0.9898792,-0.8675338,0.19729364,1.77106,1.7492363,-1.8263668,2.5443718,-1.2057736,3.1095564,2.8122663,1.9833488,-1.7725899,-1.3237382,1.007377,0.90639967,0.7760484,0.09440875,-1.6590279,2.1194658,-2.252783,1.6247783,-0.9314568,0.0352032,2.1305225,0.13774286,-0.82933897,0.027184956,1.3103257,0.7762485,-1.489031,0.73255646,0.8785894,-1.8823135,-0.71360373,0.032435074,-0.5852749,1.6099259,-1.6259903,1.3167521,-0.5642853,0.92495275,1.7887479,2.9883897,1.0936497,-1.1119604,1.8474237,2.2975366,-0.27430618,-0.6518864,-0.36194843,0.18325578,-1.9131188,2.6500063,-2.61537,-3.7691174,-1.4884013,-1.0593292,-2.2679415,-3.4997618,1.2145901,-1.9844106,2.5389314,-2.1980522,-2.6119385,-0.9562406,-2.18758,-1.3696258,-2.9209073,1.2365327,-1.3714181,-2.3525612,-0.53192174,0.6433351,-1.1047368,-0.50735736,1.051661,2.7202973,0.5418229,2.7137568,-1.9534401,-1.8316907,1.8895168,1.748998,1.7774969,2.0288265,1.4642079,-1.2730861,-1.6553227,0.6609984,0.13259852,0.05650612,3.8769557,2.1895752,2.6484709,0.8835675,0.17530757
UBB,-11.9301,-9.831331,5.8856955,11.011227,17.973652,11.2601,10.583946,-8.322345,0.8858586,-5.711032,-13.071967,-6.205206,8.842758,-3.8516247,8.626893,-9.387167,2.4489253,0.34860393,-1.251056,3.7116704,-6.621532,9.157682,-12.227611,5.6755047,-1.5851058,5.06165,-1.3665825,1.9578071,4.145605,11.487697,10.538243,-9.771256,0.8306286,-5.5248184,-12.300565,4.1870003,5.834685,-1.6257613,-3.2189422,-18.881403,4.0789175,-3.0175612,-2.2316651,-7.6596646,-8.330934,7.96265,12.690991,4.6645427,8.905707,-9.129429,4.5828404,2.6855845,4.8571835,-11.593149,-7.272354,-0.38969585,12.495224,-8.463116,-7.126696,0.59029514,11.449776,-1.5313457,2.915449,10.942804,-10.018093,12.538371,-5.873913,-13.605595,-0.06705143,-8.895422,3.0031137,-5.8051867,9.359085,2.370785,1.7207695,6.2786093,-5.753823,7.9959164,-5.819637,8.87937,0.19680643,7.2830033,11.377166,-9.7790165,2.527492,-1.4629517,-3.544882,-2.597639,-2.4595068,5.3136845,7.1519747,2.3775187,-3.6021585,9.284196,-0.4169349,-5.427574,-12.483971,-1.824153,-0.31937453,-14.939024,7.5874987,-11.499059,-1.2244868,-7.321265,6.979615,-4.384835,9.950472,12.744828,10.332891,4.7742825,0.7715665,-4.081787,-5.536716,2.739867,9.1210375,6.550303,-1.1612414,-1.9595376,6.5689707,3.6135433,7.6749187,12.139848,9.727659,1.4588838,6.196682,-3.8925657,11.346134,-5.9087753
BCL2L1,-0.8729039,-1.3725499,1.2000704,1.5433093,1.9301914,0.9498025,1.0266801,-1.3525882,-1.0133163,-0.6161902,-2.0516706,-0.8354783,0.06139535,-0.9334175,1.0218723,-1.9687865,0.76275396,0.8940447,0.043320816,0.8246878,-0.7097014,1.144786,-1.2583019,0.3000426,1.5613111,1.381459,0.40802795,-1.3732778,0.6849333,0.8139299,1.8007518,-1.2515458,-0.35274783,-0.6968837,-1.0220917,1.0175673,1.5365864,-1.1554204,1.3043008,-2.1850398,1.68214,1.0887967,0.11847836,-1.6733639,-1.2163969,1.0799959,1.3382899,1.1161408,0.30260196,-1.8818439,1.8902107,-1.2450873,1.7821178,-1.454285,-0.50749093,0.5024696,1.0524806,-1.5685221,-0.57157797,0.34661055,1.235244,-1.025731,1.002088,0.6978942,-1.3394237,1.4397562,-1.2596511,-2.2858691,0.9422927,-2.1222823,0.5583091,-1.5146681,1.2156463,0.84447396,1.257652,0.7782111,-0.89482963,1.3675091,0.31816483,0.24994108,-0.42623752,0.008694206,1.3014812,-2.3316433,0.86816084,-0.6204416,-2.4641101,-1.0372514,-0.47886848,-0.68759555,-0.9238779,0.62177736,-1.6146454,1.6885753,-0.9284469,-2.5856109,-1.4524608,-1.0896999,-0.56960315,-2.154546,1.3455739,-0.7091715,-0.97918546,-1.9053862,0.49748877,-1.1826602,0.7175957,0.96493566,1.9521983,0.52835083,0.7757009,-1.9300494,-1.0098485,1.1226792,0.8060836,1.0402789,-0.014227109,0.38159966,0.613868,0.17541772,0.075067,0.20499736,0.7487332,1.8371533,1.0640254,1.1625161,1.627469,-0.5310032
