,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
ABL1,-2.6843991,0.10751938,4.3892636,3.361388,2.6326404,1.7035055,3.1128783,1.5410205,2.4753563,1.1595842,-3.748403,-0.07110405,1.7064211,-2.2750866,2.7793627,-3.4708276,-2.6444151,2.325101,2.2923276,-1.0493351,-1.1675277,-0.5638405,-1.3530899,0.19802402,-3.3627052,3.358293,2.6644783,-3.753285,-3.5730226,-0.13662128,3.5464785,-2.8388424,2.7202904,-1.6489406,-1.6852521,0.9121461,-4.003146,-1.7761414,0.2158564,-3.7482772,4.227323,0.42650026,2.9933882,-2.118674,-3.1238294,1.8067663,2.8747654,-2.4840407,0.6316562,-3.916031,0.055997193,-4.298475,4.3631988,-2.4010112,2.037667,3.4356287,2.1542573,-1.5770181,0.98376155,2.0966256,-1.1568532,2.5987716,1.2365847,1.492791,-3.2141843,1.5206046,-2.1637368,-1.0029901,3.2905846,-3.04453,-2.3426802,-2.3482015,0.4335863,4.998279,3.4226778,0.6983389,-2.5598655,3.0433533,-0.7505935,-1.8267953,-1.4201201,3.128704,2.8636677,-1.0402943,-1.4185561,-2.2524014,-3.5404081,-3.6022968,-1.0030236,2.1012387,-2.7216604,0.9412711,0.3039562,2.4969563,0.6315316,-1.3482637,-2.1101055,0.16704114,-2.5358055,-4.746256,2.9541185,-3.4336393,-1.2750093,1.5566304,3.687244,-1.5337247,-2.4422534,-2.7608662,3.6566064,1.0383254,2.0522985,0.9775594,-1.6957936,2.18697,3.377283,1.5638673,-3.3711548,0.3231286,2.5381422,-1.598229,2.136808,3.2079396,0.70900095,3.0154438,0.39779332,0.84925675,2.7212033,1.6350993
AKT1,-2.5532486,-0.3640447,3.4784043,3.9755943,2.4530504,1.7639116,2.668475,2.6230211,2.777266,-0.46025965,-3.1544883,-0.8320121,0.13621059,-2.8180735,2.7715678,-2.7116656,-2.0465405,1.7598575,1.3363808,-0.7892582,-1.289947,-0.2887149,-2.3250597,0.76902854,-2.3706567,3.1304653,2.6870725,-3.070601,-3.172352,0.90030074,3.4522123,-2.8888447,2.0048544,-2.620905,-1.1429101,0.413777,-3.075947,-1.68825,1.2980392,-2.7556958,2.9599094,0.7761553,3.3628256,-2.1422462,-2.2961726,2.1889803,2.2810285,-2.719237,0.6005201,-3.3773522,0.5477347,-3.799361,3.422853,-2.9313595,1.1037561,3.227869,2.1415868,-0.98506874,0.89507544,1.6647998,-0.4158432,2.5888991,1.4868672,1.5482321,-4.2535853,0.63096964,-1.2547915,-0.35463122,2.1909623,-3.4077334,-1.5749333,-2.4413126,0.5001368,4.2175503,3.4810102,0.06619699,-2.3385205,3.1037688,-1.2068366,-1.8096129,-0.7224027,3.2038503,3.0039964,-1.8478725,-1.0172564,-1.7516642,-2.692799,-2.7196414,-1.3872327,2.2016845,-2.3294606,-0.28581128,-0.6704085,2.8437552,0.8223978,-1.6615475,-2.5347104,0.32129693,-3.4894016,-4.8569465,2.510356,-3.2871344,-0.6626768,1.1911849,2.8359306,-1.8459694,-1.323586,-1.8626392,4.27562,0.9064674,3.0848722,0.7086219,-2.147189,2.245291,3.5774777,1.1097898,-2.2943196,-1.2991042,2.1134312,-1.2003746,1.311811,2.8357906,0.49669835,2.33734,-0.76830685,2.2541718,2.876449,1.3646475
PTEN,-3.1038625,-0.9758674,3.80872,4.0200143,2.9958465,1.4762343,2.7072153,2.6758046,2.754637,-0.68958765,-3.1410754,-1.1266183,-0.8115138,-4.0954914,2.631078,-2.737318,-1.3663532,2.0468411,1.4812338,-1.0904616,-1.181593,-0.74461657,-2.778736,1.8654115,-2.4876204,3.7427642,2.88452,-3.1057627,-3.9213538,0.26613373,4.1857295,-2.6605408,1.8486406,-2.6444447,-0.9300594,0.12045753,-3.7659895,-2.0675929,2.6130595,-3.017008,3.239798,1.0741061,3.9652255,-1.9286135,-3.272365,2.4474804,2.5950258,-3.410901,1.0563618,-3.5810895,0.29559863,-4.1972294,3.5805354,-3.0491943,1.059847,3.2030287,2.3735716,-1.4714261,1.7099192,2.19192,0.261027,2.7239926,1.1777197,1.4507701,-5.406486,0.46397966,-0.616553,-0.7176963,2.7823503,-4.016108,-0.9208289,-3.159478,0.79147446,4.5001774,2.7774794,0.41502827,-3.7030077,3.616845,-0.976076,-2.5311165,-0.76620775,3.2420053,3.4964201,-1.4974958,-0.49064556,-2.0257692,-3.2160034,-2.6091208,-1.9879395,2.2503326,-2.3659544,0.6838008,-0.053303774,3.2975538,0.039437037,-2.68505,-3.0393522,0.38637838,-4.6653533,-6.2379494,2.4077888,-3.25857,-0.8041495,1.4127727,2.807956,-1.2666719,-0.95853436,-0.9670098,4.9030037,0.387519,3.9647443,1.115046,-2.5311239,2.270352,3.7908356,0.9925657,-2.2184796,-1.1418431,2.941434,-0.6915651,1.5528872,2.465761,1.2027643,2.4851708,-0.25704107,2.9299016,2.3072145,1.7705722
BCL2,-3.4278007,-1.087173,4.281888,4.0478168,2.9120047,1.0879472,3.2845676,1.9310061,2.2479792,0.32760167,-3.7177742,-0.36720875,1.2390851,-2.5091782,3.2607167,-2.2754529,-2.5741282,1.7621052,2.074065,-0.550289,-1.0155734,0.19677378,-2.3486009,-0.027853925,-3.33348,2.6956735,3.1537051,-2.5991497,-2.7004483,-0.5485159,3.4815383,-2.0053613,2.3025193,-0.44580358,-2.4824572,1.1252255,-1.6321254,-2.5323122,1.371787,-2.353261,3.5501058,0.84423494,2.43973,-2.7505422,-2.084546,2.835579,3.0444236,-4.166877,1.3415903,-3.9853191,-0.094007015,-2.9586022,4.0505347,-0.80088913,1.6814538,3.0491667,2.3675065,-1.0346478,1.4134103,1.053029,-0.4391494,1.2573053,0.9935277,2.4550176,-3.721115,0.56997555,-0.5098337,-0.07393093,2.5064507,-3.052258,-1.5335869,-2.22475,0.04514493,4.650089,3.4221196,0.8338599,-2.5188384,1.9369398,-1.1296872,-2.1586154,0.6587768,3.5403733,1.9155171,-1.9631904,-1.5836155,-1.390272,-2.986325,-2.3096304,-1.4817201,2.2377098,-1.8972359,-0.8372728,-2.2890048,3.2080405,0.56576264,-1.0752928,-1.2719369,-0.7539866,-3.8876936,-4.7973886,3.050609,-3.1703236,-2.0066516,1.9848797,2.4978437,-1.1668342,-1.9220012,-2.2925909,3.4053667,2.454926,3.0472586,1.9420873,-2.8055537,1.039343,3.3052368,0.7079465,-3.7769268,0.046124343,2.331719,-1.2119057,2.427309,3.2994852,0.6221009,2.7515604,-1.0649142,2.1720593,1.8370451,2.8909428
JAK2,-2.4328835,-1.5307215,2.3158388,2.3791144,2.1881626,0.9901009,2.01104,2.4563665,2.214332,-2.1579978,-2.1953201,-0.4237601,-1.3154618,-3.904424,2.202624,-1.5270009,-1.0315678,1.1207817,1.1070087,-0.31597844,-0.9764398,-0.9561427,-2.269421,2.1229978,-2.0912976,2.9943337,2.7910898,-2.8646326,-3.8856533,0.28871644,3.0944033,-2.720164,2.0714378,-3.3016665,-1.1682718,1.6476358,-1.9050226,-1.6582086,2.4741151,-2.8582027,2.7775404,1.7259812,4.3929143,-1.9231126,-2.586893,2.5799074,1.8788235,-2.8117952,0.7834744,-2.8445306,-0.3959425,-3.692722,2.9520931,-2.9243662,1.3175886,2.8293715,0.89974123,-0.91926134,1.2503421,3.0899053,1.076223,2.4303586,0.8890459,1.5210832,-5.1531634,-0.7555756,0.07853832,-2.5192962,2.477779,-3.4642522,-1.1229962,-3.0292177,0.4335583,3.7351084,2.872127,0.74209183,-3.2450142,4.6341987,-0.70942026,-1.6237898,-0.70836747,2.2679355,2.2304523,-0.6480219,0.18273549,-1.9496604,-1.7013115,-0.8453507,-2.156862,1.6888617,-2.5343654,1.2698287,-0.11066109,2.6187174,0.031682212,-2.8852882,-2.2256694,-0.69134927,-3.662409,-5.555943,2.582137,-2.6360471,-0.60152686,0.7297921,2.1450262,-1.8007203,0.39471984,0.27142325,5.299157,1.1940696,3.1165545,0.40417314,-2.7517765,2.370336,2.2561674,0.33083165,-1.4453256,-1.511114,2.642367,-0.8697577,1.9273486,0.77574,0.36074358,2.2019992,-0.348767,3.5330665,2.1576095,2.27486
RRM1,-2.0052533,-1.274756,1.9439899,1.3914133,1.7438887,1.0203874,1.8628093,0.7611562,1.1911068,-0.09582411,-2.0258622,-2.0747833,-1.0098604,-2.2510808,1.0813018,-1.6752548,0.25447986,1.9358665,0.16458286,-1.2320356,-1.1033204,0.6031534,-1.1869535,0.7700168,-2.1598382,1.5972594,2.359065,-0.85164064,-1.6119995,-1.3293786,2.1921535,-1.6465372,0.90443027,-0.8979808,-0.82594997,1.388399,-1.8995883,-1.5993803,1.8040267,-2.2555025,1.4070059,1.6088775,1.5793241,-1.2270885,-1.6483914,1.1083672,1.4550235,-1.8957754,1.7561281,-2.1226597,0.0765979,-1.2520552,1.0231273,-1.5783086,1.267162,1.4825103,0.54680675,-1.6633321,1.8434412,0.844839,-0.16823687,-0.27024722,-0.76968974,1.0176233,-2.2836385,1.2053387,-0.16417809,0.17775361,1.3189843,-2.6298926,-0.30869925,-1.7379355,0.98469496,2.0643363,1.8800465,1.4496396,-2.0843086,1.6853106,-1.8862422,-2.3292706,-0.73800576,1.7941909,1.0168707,-1.286112,0.6816656,-1.647657,-2.101953,-0.8994332,-1.187705,0.95809394,-2.052035,-0.3857592,-2.2013106,2.6246898,1.4278299,-1.4852704,-1.8797362,-0.6094303,-1.5158148,-2.3296924,2.0565534,-1.0464619,-0.9220356,0.46986607,1.8516827,-0.23359516,-1.6195003,-0.6612898,2.484429,1.1759255,1.3257644,0.7654934,-0.7138745,1.1671611,1.8670712,1.9424443,-2.0348234,-0.011323001,0.9393195,-0.12730604,0.13132535,1.7575182,1.3062162,1.8850659,0.16262783,1.2481046,2.0206335,0.4942459
PC,-2.0906935,-0.15358502,2.1490054,2.847059,1.451789,-0.0481264,1.6428856,0.6417235,1.5998757,0.56189126,-1.935262,-0.8135055,-1.0525314,-2.8604658,1.8089381,-1.6478554,0.017717758,1.7186762,0.898638,-0.91429794,-1.1915421,-0.45364726,-1.4542873,0.5018953,-1.5072685,2.345924,1.5446827,-1.2597251,-2.1722906,-0.6886789,3.0399177,-0.96910864,0.70475537,-0.17357796,-1.1987892,-0.19078158,-3.0607138,-1.469088,1.9290648,-1.8159723,2.1902037,0.69300413,1.0382249,-0.8451274,-1.9267488,0.7222917,1.6566818,-2.2833197,1.4191681,-2.3641858,0.56996197,-1.8218064,2.9448814,-1.1956341,0.6560621,1.5365615,2.52891,-1.5609926,0.46016347,0.41180643,-0.42043647,0.5332508,-0.25548136,0.61370134,-2.2835248,0.42293978,-0.3945917,0.75401413,1.2750505,-2.0036247,0.32798767,-1.4794273,0.62220824,2.570069,1.7528865,0.95039326,-2.558949,0.6173771,-1.0535294,-2.144564,0.31120142,1.9330429,1.5939198,-1.4888813,0.24470405,-1.3995821,-2.3219059,-1.9832306,-1.09527,0.43177673,-1.5682106,-0.110270195,-0.41004288,2.5137396,0.000542205,-1.150982,-1.9033687,0.70836407,-2.2969377,-3.3141267,1.2820945,-0.95469874,-0.8461406,0.7151086,1.2947147,0.16102658,-1.5301781,-0.27170584,2.2399766,0.35522348,2.014199,1.7030673,-1.3222953,0.55108535,2.7434807,1.0912783,-1.7853729,0.30192062,1.7650373,0.069820695,0.52611774,1.8355634,1.5695295,1.7637085,0.085097566,0.9572049,1.4400054,-0.013316179
GOT2,-2.6386454,0.21703224,1.792724,4.4101443,1.0304385,0.4574148,2.2750163,1.0379845,2.7629457,0.18609111,-3.2617302,-1.2329962,-0.9384836,-1.7575979,1.6495403,-1.9881105,-0.7319383,1.2931134,0.41677445,-0.5082201,-1.9714304,0.21816994,-2.356259,0.7673162,-1.438525,2.1447482,1.2378695,-1.1151872,-1.2658219,2.3622956,2.9266248,-0.9299403,0.56706184,-1.2444962,-1.66983,-1.0863968,-2.5817258,-1.4748225,0.78357744,-0.5398306,1.2556024,-0.7394902,0.46905544,-1.5171171,-1.6617072,1.8000156,1.5935457,-2.1663895,1.1624036,-2.919938,1.7304335,-1.1662724,2.5086145,-1.4620888,-0.77872235,2.5770988,2.7209125,-1.5534197,0.3157301,-0.018066842,-1.2174325,0.8620268,-0.5373575,0.4728794,-2.4675193,0.02221566,-1.1595076,1.3687863,0.6132692,-2.3880029,0.93599814,0.38650352,1.1888394,1.592368,2.7807143,-1.298829,-1.3733382,0.4025529,-1.9298784,-1.3717453,0.40991682,3.5142612,2.0914032,-3.690473,-0.9508091,-1.4371476,-1.8001469,-2.1755855,-0.84371746,0.7068044,-0.45214495,-1.5797836,-1.3660532,3.266579,0.802613,0.37455902,-1.5614233,1.043742,-2.6260374,-3.021815,1.8334875,-1.3973151,-1.0982717,0.7343999,1.2429063,-0.28223383,-1.3827099,-0.3882979,2.1447043,0.34324345,2.4245226,2.5852897,-2.759712,1.0338069,4.1058397,1.131052,-1.8910197,-0.23404182,1.5143092,0.4110933,0.28428373,3.4466412,0.7480726,0.366359,-2.0040274,0.6833625,1.9156448,-2.5560176
UBB,-3.8502116,-2.718484,4.934359,2.8052278,3.118324,0.79937756,2.5981114,2.5860276,2.9059355,-1.7439345,-3.3560038,-2.0894072,1.4027323,-2.8679705,2.760201,-1.8788961,-2.5441267,0.35005012,1.3892171,0.22569475,-1.560741,0.039756887,-3.5108836,0.8025257,-1.8507935,2.8329744,3.1463947,-3.3837607,-5.549103,-1.4686291,3.4438944,-2.9482806,3.021886,-1.7053982,-2.6864312,1.7461728,-3.0331767,-2.432451,2.9798746,-2.8465793,4.191691,2.319975,3.358248,-2.680722,-2.009529,3.668578,3.4771934,-4.5021234,2.0064304,-3.76437,0.5372835,-3.333256,2.6367593,-1.7970562,1.7191579,3.2079296,2.6504323,-0.97196263,1.6555865,2.8153534,1.404166,0.108241454,0.04802827,2.6568341,-5.695149,0.80856293,0.63158566,-0.6972201,1.6188878,-3.2857854,-2.3167858,-3.4878056,0.39622706,4.151731,3.3264577,0.42251712,-3.0916016,2.3925297,-2.4400342,-2.4868133,-1.2408643,4.1527977,1.7935575,-1.9811624,-1.6871437,-1.3477192,-1.9765403,-1.7916523,-3.0407789,0.7986323,-2.7237613,-0.12524179,-1.3465347,4.2468553,1.2615405,-1.3967648,-2.069913,-0.57410836,-3.6745048,-5.044847,4.3906064,-3.9036844,-0.4590578,3.773534,2.4820254,0.19021308,-1.8930113,-2.4876542,5.3991385,2.2981238,3.6145403,2.2287812,-2.4748323,1.7206405,3.5656118,0.92737865,-3.562077,-2.1007822,3.8297606,-1.1695946,2.9174542,3.6319888,1.7146986,3.2299933,-0.38080367,4.081836,1.1694812,2.9650426
BCL2L1,-3.378858,-0.35627687,3.650793,4.7689986,2.2595696,-0.108462155,2.674576,1.7111858,2.368281,0.7122018,-2.4640322,-0.63027835,-0.22635916,-3.7512805,3.1359215,-1.699545,-0.8415034,1.6062213,1.867212,-0.5602964,-1.5487794,-0.4404032,-2.7874289,-0.114502154,-1.8532435,2.9720745,2.2779028,-1.8550508,-2.6158235,-0.8339562,4.1511083,-1.0529817,1.1467859,0.44460946,-2.4007514,-0.9306127,-3.6754744,-2.1661565,2.4847436,-1.9368567,2.718131,1.0550473,0.8646996,-1.5745188,-1.7996733,2.0371215,2.3867178,-3.6434627,1.9510463,-3.356406,1.2413455,-2.6375413,4.484199,-1.353072,0.8054369,1.8071319,4.0789003,-1.2329546,0.5067857,-0.116189405,-0.37555605,0.22948541,-0.060624156,0.9446682,-3.3364325,0.6284855,-0.12419916,2.0749707,1.1577365,-2.1805816,0.2825132,-2.273651,0.41156906,3.6774426,2.4098501,1.2023602,-3.6355534,0.10168877,-1.7837104,-2.925759,0.97534037,3.4595609,2.1326516,-2.130836,-0.7378197,-1.0802629,-3.0555768,-2.8049164,-2.0277712,0.4017279,-1.6753577,-0.9686022,-1.3598108,3.4682708,-0.2553328,-1.5266536,-2.2897055,0.9647217,-3.5189526,-4.586352,1.6088743,-1.873959,-1.1120224,1.7262352,1.5929918,0.29197112,-2.460914,-1.3292937,2.982125,1.4890263,3.4056323,2.8489287,-2.4595249,-0.22986007,3.7862716,0.8643952,-2.8786657,-0.22228798,2.643509,0.07618993,1.0869832,3.2440228,1.8783665,2.6458864,-0.6923272,1.7108982,1.854547,1.1694312
