,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
ABL1,-1.2221359,0.7506191,2.1241212,2.739606,1.726364,1.3629894,-0.9037741,-1.6420867,-2.7360325,1.0498929,-3.1291077,1.7675288,-2.0642357,-2.3817775,1.3281822,-2.4938736,1.9856035,1.9395313,1.0033597,-0.3427526,-0.6889551,0.75301737,-1.5817986,0.50953,-1.4241496,1.0471314,1.8984822,-2.2363255,-2.0044448,-2.4884036,2.0089867,-1.6507776,-0.95606315,-0.8654332,-0.86969596,1.994496,-1.2067682,-1.2515786,1.7254486,-2.214368,2.4406798,2.7854319,2.4474797,-0.6768251,-1.7595134,1.7908962,-0.9794584,1.1155753,0.8594122,-2.639714,2.9501426,-2.2004023,1.9795629,-1.4463998,1.1609716,0.52368647,1.267015,0.35676327,-0.9474765,1.6220282,0.27756253,1.7237818,1.0428041,2.1053267,-2.0957139,-1.7197708,1.5492913,-1.9224131,1.2911446,-2.6293235,0.8836961,-0.9559448,1.7049836,2.9846354,1.6235306,1.6494734,-1.086009,2.743245,0.84958017,0.1762046,-1.575083,1.9059193,1.5944874,-0.53152394,1.2278193,-1.3079374,-3.1169267,0.59677434,1.1925799,-2.0228417,-2.0696516,-0.28446466,0.7864866,2.306374,-2.4442544,-2.4969308,-2.2121193,-2.0574646,-0.72393423,-2.870867,1.2855794,0.8220013,1.906326,-1.6092138,1.0533425,-0.7616867,-0.572955,0.062979095,3.1524584,1.9367905,1.3803705,-1.8409697,0.55266035,2.3552158,1.2812188,0.84101766,-0.14756198,1.4434121,1.0465924,-0.36407572,-0.5688564,-0.31654456,0.8795002,0.10170557,1.0511327,-0.27558684,2.6866207,0.3049682
AKT1,-2.7418818,3.3963013,2.3308265,4.3898444,4.7523255,1.4781367,1.0006762,-3.7066536,-4.088907,0.64140993,-5.9076333,6.7268744,-7.8889194,-3.8428752,3.9120512,-5.5327606,4.6413493,4.1064644,0.6751291,-2.7802663,-5.2977552,4.024183,-3.0354633,-1.2594671,-6.226672,3.1841516,3.8375537,-2.088499,-1.3206141,-4.3211412,4.320124,-2.7637935,-4.659386,2.052317,-4.9450765,3.4568992,-1.4526708,-0.36499083,3.4228275,-6.4942803,3.0059788,1.6856632,2.1068504,-3.0019665,-4.5237274,0.96974814,-2.3822246,1.8316889,2.2486281,-6.022814,3.3374379,-0.69892114,1.3236686,-4.077255,2.9328403,1.2659584,0.6355082,-2.3841295,-2.381564,4.8721266,-0.6360948,3.4782536,0.38132846,4.864228,-2.1936212,0.042898178,-0.47931388,-4.1391573,1.1700377,-4.8024855,1.4333137,-1.6271257,1.9704435,5.375976,1.2029599,4.9785857,-3.1666574,5.0041537,-0.5034284,-0.77030146,-2.987162,4.6094646,2.780299,0.80369264,0.28260908,-1.0822884,-6.93441,3.0192077,3.1101296,0.9660015,-4.743895,0.41666162,-0.35818717,1.5122156,-2.9990232,-7.3702717,-4.036377,0.80393136,-2.327769,-5.4510717,4.527023,2.1953607,3.0935314,-2.7382796,1.886488,-0.39663178,-1.4340644,1.376772,2.1890216,2.15327,0.23168892,0.63395506,-0.3831679,1.9034556,1.8151014,0.121940255,-3.9985387,5.15059,4.7726183,-0.054355104,4.013456,-2.0486734,2.0610244,-1.9404447,4.023133,-4.280817,3.8971293,0.25327936
PTEN,-1.6084954,2.5024571,2.1145566,2.789999,2.7050428,2.1660614,0.14802063,-2.0701783,-2.24651,1.5999355,-3.5057983,3.0727904,-3.3206058,-2.934234,1.5196954,-1.8330507,1.6092837,2.0116491,0.48280945,0.86494476,-1.333792,0.94256556,-1.7699893,-0.22961846,-1.6989506,0.83417004,2.3774834,-1.9664656,-1.5852773,-0.7922885,1.9277683,-1.787332,-2.9561996,-0.7624123,-0.4809853,1.4587847,-1.5626386,-0.7259717,1.6106404,-2.909186,2.7135146,2.4991498,1.9083071,-0.94700456,-2.352273,2.3631213,-1.7563692,2.1642385,-1.1598929,-3.8203452,4.352949,-2.416916,2.62889,-1.4177221,1.7549659,0.2613098,0.37995544,-2.119299,-0.8254912,2.1206985,0.19193962,1.0356336,0.9996322,2.052029,-1.1127281,-0.12979937,-0.57646537,-2.9750383,1.1246331,-3.3890822,0.45473728,-1.1933147,1.6387043,3.0757554,1.6863438,1.9256718,-0.6739813,3.211293,0.12756073,-0.03479366,-2.040098,2.2733073,1.3427974,-0.6373279,0.96586597,-1.3058665,-2.8253856,-0.002593072,1.3172778,-0.2760636,-3.1190543,1.0801034,1.254997,1.9644275,-1.687506,-3.981381,-3.1899765,-1.3469731,-0.9957549,-2.0554366,1.0813583,1.7733641,1.6034354,-1.6746845,0.36020055,-1.7886448,-0.57914114,-0.29127955,3.9653366,2.5095675,0.4911943,-1.8361907,-0.22623102,2.2917202,0.6266339,0.8535761,-0.69235915,1.9799831,2.542144,-0.69599414,-0.1337824,-0.18135968,1.3128446,-0.54411554,0.42283124,-0.33674088,3.4483476,-0.07264618
BCL2,-1.5298072,2.821463,3.416288,3.6202707,2.9729915,2.4866562,0.32626566,-2.42133,-2.8475509,0.6843734,-4.4092197,4.5488844,-5.2319193,-3.1939378,2.7452192,-2.9697537,2.1893094,2.5066788,1.0155809,-1.3199921,-3.0576363,2.616459,-1.3190069,-0.28063926,-3.8582618,2.004654,3.17077,-2.7313452,-2.3400724,-2.5269032,3.8262188,-2.5379245,-2.4551535,-0.044835344,-2.4782214,3.2486746,-1.6340036,-1.1170783,3.090128,-4.3657327,2.701806,3.0187407,2.9724257,-1.9508718,-3.3108666,1.5200276,-2.0667627,1.8154128,1.0186936,-4.8104997,4.2096567,-2.7448993,1.4885086,-2.46916,1.9009217,0.3087213,1.0443307,-0.94137067,-1.1516098,3.1224902,-0.99823076,2.8082147,1.4705359,3.4708972,-2.656808,-0.6408136,0.33892798,-4.0120854,1.3825307,-3.5581648,0.7662839,-1.5994236,1.650235,4.1475263,1.5252362,3.3883553,-1.5037264,3.5043314,0.8243219,-0.25370142,-1.9793116,3.8410308,2.2151527,0.06942566,0.6126047,-0.88649005,-4.5397143,1.9181356,1.4936056,-0.07353851,-3.236763,0.754365,1.4415802,2.5638003,-2.7014718,-4.885548,-3.4334195,-1.8917583,-1.1503137,-3.19219,2.5459108,2.2578118,2.9302695,-1.2925004,1.3339016,-1.8447182,-0.8777846,0.42984068,3.253654,2.8979962,1.3112332,-1.1214632,0.66471267,2.3972156,1.7110267,-0.4730366,-2.678964,2.8499668,2.511258,-0.5355959,1.289698,0.09127575,0.9023956,-1.2509782,1.9926982,-1.6280555,2.7739508,1.1058792
JAK2,-1.6393671,1.6956432,1.568079,2.14127,2.5485182,1.6765122,0.022057988,-2.0658698,-1.3259826,0.8394872,-2.877179,2.2628987,-3.6412115,-2.0911295,1.3926272,-2.441411,2.871735,2.876073,0.6815335,-1.3502837,-1.5470014,1.4997228,-1.9449301,0.49339664,-1.8992133,2.845361,2.2851837,-1.5704181,-1.280335,-1.5538216,3.0974214,-1.6660954,-2.510009,-0.2646125,-1.612699,1.0031784,-1.0197558,-0.76964426,2.7595708,-3.2344587,2.3837457,2.3425725,1.659877,-2.3757217,-2.8044748,1.5007663,-0.9917106,0.96201277,0.84152925,-2.2634423,2.9396813,-2.193558,1.5787368,-1.7456291,-0.29805106,0.43108743,1.7920982,-1.0893952,-1.0069325,1.8529274,-1.0456212,1.9007031,1.0869907,1.0810995,-2.0630314,-0.7590917,0.8998193,-2.5457351,2.630802,-3.5789073,1.3262634,-1.0817208,0.7914614,2.6698272,0.74488366,2.0259976,-2.2615466,1.8200728,1.0400206,-0.48114118,-0.7256578,2.2752273,1.8094299,-0.5364371,1.3433862,-1.4402713,-3.9279463,0.99957645,1.4386427,0.7291552,-2.1846144,0.07964829,1.2313268,1.6034887,-2.0822904,-3.5534809,-2.0255666,-0.16571292,-1.9641157,-3.004525,1.7067533,0.63267535,1.5289532,-1.8412222,1.337682,-0.971036,0.91198903,0.6677494,2.3100517,0.91434145,1.2273587,-0.7202401,0.65830606,1.4552119,1.8112496,0.4319333,-1.4214033,1.6940497,2.2474606,0.20734622,1.4401904,-0.94601065,1.5073179,0.024933288,1.8516567,-0.27107713,1.6966845,-0.7606094
RRM1,-0.85469085,-1.3311081,0.7408845,1.4677491,1.8968234,0.66594446,-1.8225951,-0.74259734,-2.0658255,0.09264222,-1.2847216,-0.16721368,-1.5543981,-1.14191,1.2906795,-1.9453975,1.8752466,2.3849158,1.0386909,-1.8197756,0.06096381,0.17474596,-2.0756738,1.5275879,-0.188784,2.651385,0.5384376,-1.6470362,-1.3406264,-1.6239231,2.8739436,-0.6652702,-0.8152257,-1.4387761,-1.2245347,0.26735732,-0.95380056,-0.95444196,1.7509807,-1.9499418,1.944071,2.3238895,0.6839655,-1.5789937,-1.3485726,0.96106595,-0.23537168,0.01718054,1.6818062,-0.882876,1.237285,-1.9127594,1.9412396,-1.4029199,-0.997888,-0.28425622,2.004912,1.5848992,-2.0880358,0.9039926,-1.0837574,0.55321556,1.3514348,0.87622315,-2.498026,-1.9156349,2.0246458,-1.2151401,1.8498201,-1.7585677,1.0581,-0.98015,1.1833123,1.290098,1.6410307,0.80621916,-1.8920517,1.2140872,1.815844,0.123100765,-0.26603878,0.6515126,1.7141377,-1.4104239,1.3130459,-1.4136609,-3.2768183,0.90168005,1.1114564,-0.8873242,-0.82691216,-1.2312274,0.6432419,2.1487565,-1.7668141,-1.3097097,-1.7667688,-0.99855953,-0.41367057,-2.7386577,1.0348198,-1.1843514,1.5342065,-2.256417,2.030154,-0.57557863,1.7990617,1.4187026,2.5183408,-0.037380364,1.4966309,-2.0354576,1.8010199,1.8029749,1.9524124,1.5996282,-0.0964091,0.26294753,0.0494375,0.7274344,0.09773126,-1.769648,1.7642192,1.2615341,2.1195269,1.4893959,0.98703367,-0.84897375
PC,-0.8259363,-1.7870743,0.27030903,1.5460007,2.0884166,0.6222044,-2.117545,-0.656857,-1.6707048,0.13724321,-0.57970196,-0.63689095,-1.552784,-0.856201,1.343779,-2.3839936,2.0648541,3.0552366,1.3804567,-2.645111,0.36061436,0.25168347,-2.5084145,1.9147803,0.11611867,3.4315457,0.6015227,-1.7650502,-1.6452594,-1.4603415,3.2679985,-0.54984444,-0.85583085,-1.9018974,-1.2861719,-0.13020082,-0.69545585,-1.2912664,1.9750152,-2.2163272,1.8909357,2.199753,0.22129741,-1.993971,-1.5551946,0.5242053,-0.04659886,-0.47150397,1.849162,-0.58413637,0.6953875,-1.6560147,2.0724509,-1.612215,-1.8678582,-0.5509503,2.8545287,2.270789,-2.521948,0.6350154,-1.6854391,0.53390664,1.7657987,0.811671,-2.8456652,-2.4667645,2.4209726,-0.9633478,2.4274094,-2.041097,1.1432176,-1.0077577,0.95357376,1.0415622,1.3555194,0.33141387,-2.085939,0.978584,2.5178728,0.06591527,0.2170529,0.5812968,1.8847052,-1.8332807,1.4265692,-1.5501093,-3.8933077,0.99101466,1.130977,-0.35425773,-0.5208864,-1.7680222,0.7859115,2.2966676,-1.7467471,-1.1321536,-1.8132188,-0.67817277,-0.651776,-3.4569833,1.2149049,-2.2170722,1.221632,-2.7482483,2.702642,-0.6520183,2.59841,1.8947088,2.5535996,-0.43708402,1.4786297,-2.270331,2.1444714,1.8354847,2.5281184,2.0643692,-0.10507645,-0.14424606,-0.43253043,0.9990868,0.6596951,-2.2513971,2.2523577,1.6058711,2.6603136,2.1306899,0.66053367,-1.3273891
GOT2,-1.1080045,-2.2014527,0.32054496,1.930875,2.7954807,0.8805202,-2.649701,-0.9624571,-2.260633,0.2409667,-1.1202364,-0.7371934,-2.1288068,-1.1496042,1.676151,-2.8920097,2.9682264,3.9477296,1.5226662,-3.3031,0.25067928,0.32247964,-3.4132047,2.6172347,0.17096044,4.1524243,0.8289957,-2.2280903,-2.1276348,-1.9060919,4.0814433,-0.8747174,-1.2063106,-2.2994149,-1.7916391,-0.18155552,-0.88381153,-1.8769045,2.6678863,-2.9946785,2.5945985,3.0572648,0.4353067,-2.7842262,-2.1018696,0.8316325,-0.033278145,-0.6671709,2.4733007,-0.9170168,1.4382205,-2.4267762,2.618504,-2.0584157,-2.26891,-0.8475747,3.7578685,2.7386518,-3.1671262,0.88850975,-1.9369736,0.89011914,2.2119384,0.9931243,-3.6214583,-3.0320563,3.2518501,-1.2977355,3.1124015,-2.769992,1.5601608,-1.545947,1.3223902,1.6154672,1.881941,0.49085847,-2.680598,1.4596018,3.066785,0.12909503,0.061830327,0.6580435,2.4745176,-2.3736866,1.7660899,-1.9015194,-4.925983,1.117851,1.5844455,-0.489845,-1.1604939,-2.1048427,1.0358503,3.0826068,-2.1349196,-1.7600006,-2.3981879,-1.0139482,-0.899681,-4.465746,1.6008353,-2.8664548,1.7039243,-3.4574373,3.3983247,-1.0051671,3.1569364,2.2218387,3.4468212,-0.593668,2.003329,-2.8417196,2.7535613,2.457716,3.3389673,2.8189816,0.2861148,-0.09920271,-0.3118721,1.0701454,0.74619704,-2.9122565,2.9280427,2.1463058,3.0732787,2.8093002,0.8836368,-1.6925989
UBB,-0.6698436,-0.24960026,0.8407209,1.0493681,1.402934,0.7660507,-0.98554194,-0.82276136,-1.3658069,0.3305229,-1.2958857,0.45958167,-1.181346,-0.94922704,0.5713024,-1.3778626,1.1835729,1.3982302,0.5409963,-0.7958005,-0.24792492,0.28181893,-1.1049722,0.69427335,-0.5635009,1.2484416,0.5950215,-1.1551844,-0.8123074,-1.1184965,1.7627348,-0.7155819,-0.6586863,-0.766899,-0.5958468,0.6040797,-0.6906391,-0.6171118,1.1485842,-1.1941723,1.3155879,1.5648462,0.7530349,-0.9859783,-0.95258296,0.8337282,-0.28807393,0.35645148,0.76971143,-0.92883426,1.1401116,-1.0928285,1.2779624,-0.7902041,-0.18273103,-0.023699515,1.0751771,0.69458073,-1.0135032,0.8441974,-0.46525866,0.6465062,0.73308486,0.6252224,-1.3468114,-1.0818692,1.0886594,-1.0416844,1.050041,-1.16654,0.8448426,-0.67341584,0.8766366,1.0409096,0.9393599,0.74288434,-1.0311888,0.9246885,0.9926328,0.10133067,-0.50565,0.61912376,1.1548413,-0.71994156,0.9064448,-1.047516,-1.9744042,0.57056653,0.8418932,-0.6593056,-0.84291726,-0.43616343,0.5180789,1.3989639,-1.2358612,-1.1016548,-1.2384491,-0.9607235,-0.37220225,-1.7040304,0.69803977,-0.24884205,0.92136395,-1.2484567,1.0129776,-0.44889435,0.7402445,0.7544051,1.7469649,0.29821974,0.8340783,-1.2735486,0.9644866,1.1928848,1.0500414,1.0181314,-0.004014461,0.44096217,0.38019118,0.05000205,-0.077322185,-0.7931274,0.92019516,0.48770908,0.9947687,0.52635497,0.94002885,-0.41526747
BCL2L1,-1.226591,1.4262321,2.7337546,2.6115909,2.4573233,2.1888275,-1.1901989,-2.262841,-3.1796696,0.0927728,-4.081919,3.558577,-3.860753,-2.9405022,1.4124911,-3.1885338,1.9882036,1.933775,0.60265034,-1.4147012,-2.0123446,1.9488773,-0.5563102,-0.107088655,-3.100134,1.2019236,1.6490937,-2.2886636,-1.4568601,-3.4537086,3.456293,-2.6966867,-1.9255112,-0.32121655,-1.5883045,3.1956213,-2.3095984,-0.738581,2.6724212,-3.2959805,3.1198108,2.5813894,2.580244,-1.3531979,-2.1625104,1.7388555,-1.2541231,1.4746449,1.4766577,-3.3018997,3.569164,-2.1039152,1.7935362,-2.0325358,1.4824226,0.32110095,1.0763421,0.3727157,-1.2956808,2.7923012,0.0416106,2.3353171,1.2851926,2.7008457,-2.312232,-0.8886366,1.2065011,-3.0531394,1.0256243,-2.2189195,1.5133231,-1.3920043,1.8050437,3.2906992,1.558622,2.911682,-1.5302991,2.7181408,0.76202923,0.41554394,-2.3717115,2.3814068,2.9498036,-0.3441412,1.1608552,-1.3590488,-3.9339387,2.158013,1.5768754,-1.2610778,-2.5360801,0.51593846,0.79475766,2.5565155,-2.8329124,-3.6913352,-3.181538,-1.9172535,-1.2933131,-2.8719487,1.8947153,2.1386354,2.5318532,-1.213467,0.9151158,-0.33248064,-0.55094475,0.9860374,3.375977,1.265498,1.5409312,-2.14181,1.8426045,2.290536,1.3708099,0.9537371,-1.509015,2.3707156,2.2661738,-0.7223617,0.008225425,0.015831614,1.1079104,-0.95030004,2.0145361,-1.6382656,2.5889149,0.7550541
