,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
ABL1,-2.1526692,-1.6357498,1.2451149,1.327878,2.5026896,1.3382218,1.9509283,1.3415986,-2.3467648,0.7330113,-3.1822085,-1.5019318,2.24621,-2.4171715,1.1089662,-3.685789,-1.7858032,1.6380187,1.3937287,1.6937898,0.5038606,1.601268,-1.9520066,-2.3155487,-0.99538493,2.5479825,0.8017671,-1.4144495,-1.7171092,1.2534145,2.639323,-1.864872,0.4993158,0.91281825,1.3585826,1.4002484,-1.6868808,-1.9969165,-1.8563166,-3.1305063,2.0031826,0.32097322,1.9977037,-0.42140982,-2.8901832,2.378438,1.2208139,1.3477067,-1.0235229,-0.05408187,1.5339209,-2.4937449,3.036282,-1.5159738,2.1407218,2.3445945,-0.12620124,-2.2080247,1.6360606,0.7898532,-0.56049615,-1.1760502,2.0977101,0.93104106,-2.7118106,1.0627083,-0.36085743,-1.4695684,1.7110395,-2.4525158,0.14831463,-1.3779285,-0.9233272,2.2784336,1.8159583,3.0659065,-2.7603147,1.813796,-1.1415192,-0.29540637,-0.7044854,-1.753308,2.667949,-2.1126745,2.006769,2.4734516,-3.339176,-2.6900334,-0.8573819,-0.1674917,-0.12310073,0.95024073,-0.732163,2.3271158,-2.1840496,-2.1150198,-2.517879,1.8059956,-2.075545,-3.1091473,1.8353912,-1.5892755,-0.9222741,-1.8529139,1.1040221,-1.3466833,-2.3142188,-1.0646732,2.652387,0.19855356,1.2207193,-2.2736306,-0.80993474,0.21076828,-0.99747324,1.3289025,1.1117301,0.66702294,0.68461996,-1.6532274,-2.380742,1.2524717,2.17836,3.1899729,2.3049097,-1.8505336,3.454388,0.040555846
AKT1,-3.3123057,-1.2283108,1.0649856,3.0753043,9.0126705,5.364233,6.0760846,3.602384,-2.9259436,2.1296668,-10.334272,-2.6256523,5.8896847,-2.694356,-0.014451046,-5.0799847,-5.391498,3.749728,4.201288,6.056575,-0.08893218,6.2050476,-4.068805,-3.9696162,-1.7354238,4.4927607,1.1522787,-0.643442,3.5771148,6.3063035,3.3598619,-0.8439246,5.1322365,4.7657948,0.28657058,1.3974891,1.2790875,-2.9686902,-8.303394,-4.5960765,-0.7226231,-2.3221369,3.3038936,-0.73557055,-6.283515,6.0534444,-1.5792018,1.3927429,-2.519658,-2.9655638,3.2020512,-8.134232,5.2246623,-2.853476,1.445881,5.900434,-3.8842633,-7.484811,8.383093,-1.1127473,3.132106,-0.5976768,1.1719549,3.6065388,-4.5845647,5.79641,-1.87817,-2.384335,7.0625196,-7.482348,-2.2746933,-0.92662805,-1.2093056,3.5849466,4.16557,1.3295426,-6.73933,4.4909544,-6.183252,2.9981534,3.6024735,-6.3912187,3.9516635,-5.3086777,4.940667,5.810595,-8.620524,-8.046549,-0.8213452,3.188903,5.326622,-0.89223087,-5.0813956,3.9476967,-0.1618022,-3.8789263,1.9215451,4.7664757,-3.9189367,-5.16735,3.5011308,-5.6897516,-5.4853816,-4.1057677,-2.0627396,-4.1309514,-3.1508381,-6.0409107,2.2648478,3.1887069,0.80804324,0.22961906,-7.6363525,-0.021437963,-2.9032316,0.2566809,4.172602,-0.86759406,3.5002887,-4.831837,-4.4634876,3.060833,3.2895827,8.819786,-2.7539673,-0.9714928,3.0244472,-1.6360041
PTEN,-2.1089149,-0.35918254,1.9220763,1.2116528,4.6131277,3.3888288,4.333908,1.7285477,-0.92743045,0.01842194,-5.042508,-1.5454038,3.010832,-2.5802689,-0.38277563,-4.81035,-3.4316733,2.6618288,0.90462434,2.1522732,-0.13963893,3.814412,-2.2544293,-1.2835658,-1.8315035,3.4218616,1.1163007,-1.2891891,-0.09666179,4.316004,1.6940135,-2.1223927,2.5549638,1.7554659,0.997059,1.7824771,-1.3061262,-2.385421,-3.5464997,-3.2578804,0.5118901,0.83468515,3.0045626,-1.5999835,-4.847496,3.5655882,0.74755454,1.9338932,-2.217643,-1.2202039,2.3482964,-4.708076,3.3576329,-1.401339,1.892081,4.039354,-1.81683,-4.488434,4.947801,1.2291728,-0.33645618,0.06192363,1.6294578,0.9285388,-3.4986262,2.768465,-1.6260961,-2.6830065,3.631518,-5.095574,0.37427932,-2.59737,-0.28429243,2.5824332,1.3917826,2.0942774,-3.0810332,1.5249674,-2.769055,0.23040187,0.22955193,-3.3140812,3.799058,-2.2264383,2.1785603,4.3905616,-5.287849,-3.6969326,-1.5165781,2.0729952,1.3695742,1.1916496,-2.2222862,1.6288697,-0.8052941,-2.8082054,-1.3154438,2.2214549,-2.6367683,-4.4153666,2.1123874,-3.9878209,-2.1053755,-3.7735944,0.3707446,-2.9447513,-1.9493107,-2.0362613,2.6875627,2.3507235,0.13216105,-1.8591758,-3.142177,0.8213605,-1.1207759,0.049549345,2.5438993,-0.23117882,1.3771768,-1.4877989,-2.818576,2.202036,2.1450768,4.656042,0.024434723,-1.0388039,2.4930153,-0.8054777
BCL2,-2.3268788,-1.9221535,2.2105815,1.4724299,1.4177662,1.7299738,0.70564497,1.8185861,-2.911982,1.0854084,-2.4644942,-0.9230734,0.2773779,-2.0359259,1.9323719,-2.7738757,-2.6902964,1.2709227,-0.3154391,0.9660416,-0.70132786,1.5706431,-0.7797611,-3.3938591,-3.0792267,1.7268537,1.6009469,-1.3243179,-2.898369,0.16561168,3.176723,-2.6460545,0.64955527,1.0992768,1.5530719,1.2325349,-1.6377616,-1.2572006,-1.5899215,-4.198046,1.5139449,-0.1504942,2.0261393,-0.15187864,-1.1630812,1.6702305,1.2594616,0.4402103,-0.8763751,2.057785,1.376611,-2.2233322,2.4343626,0.20604059,1.9729072,0.8527215,-0.25634512,-1.1203202,0.08634058,2.0035677,-1.1375972,-0.35173863,2.2700334,1.2991514,-2.2494063,1.08293,-0.21854182,-1.1420946,0.5828785,-1.8327539,1.4983894,-1.7193053,-0.9496042,1.3993088,1.2596855,2.942518,-1.5485457,1.0526118,-0.75123423,-0.33725134,-1.2196182,-2.3227735,2.3269968,-1.3218415,0.75097746,1.0588273,-3.783767,-1.48383,-1.3403655,-0.37760243,-1.332738,0.5345467,0.8197626,1.5968795,-2.8772256,-2.3627489,-3.2123482,-0.10651946,-2.347441,-2.7510188,0.8479966,-0.80187005,0.28468293,-1.5216569,1.079543,-0.58753186,-2.5929394,-0.4789725,2.3153403,1.2264127,1.6608706,-2.2446253,-0.57953084,0.05530461,-1.0639976,1.0812681,0.72127783,0.5120984,0.9196739,-1.6224368,-1.3326991,1.6786253,2.01057,3.4544768,2.9959583,-2.6167872,2.6279886,-0.2904421
JAK2,-5.7377596,-2.9368908,3.2256196,4.472784,6.5578294,4.0672216,3.6255376,5.0313253,-6.4742,2.966,-9.12324,-3.5886679,3.66562,-3.8000863,2.9312375,-5.553802,-6.8406196,4.0986004,4.0686946,3.685747,-1.0168986,5.0196753,-1.552001,-9.423259,-6.1952453,3.6243637,2.8924403,-1.8738846,-2.3997657,2.8039012,6.3286433,-2.9167864,3.9529624,6.97128,1.6642445,3.0828052,-1.5171535,-4.898946,-7.727761,-8.46431,1.8408024,-3.7551665,4.280106,1.1896359,-3.2240806,4.544074,-0.32828346,0.5258481,-1.4376699,0.9395205,2.8752596,-6.4517756,6.994514,-0.8826561,3.6548197,2.7036493,-3.6348698,-5.6249094,4.806252,1.6554239,-0.08114053,-1.3731765,3.7406266,4.762549,-4.075262,5.7660303,-0.47355023,-2.380059,4.4202337,-5.8673596,0.48163453,-2.6590168,-4.324464,3.8091269,3.6556852,5.256471,-7.268023,5.671767,-4.5598035,2.230204,1.3078564,-6.3845186,4.98285,-4.838479,3.8626957,4.6899314,-8.921879,-6.405368,-1.6729561,0.8382014,1.3944161,0.8857805,-1.7616656,4.1254067,-4.966154,-5.47434,-2.0824091,3.80979,-6.3115644,-6.9896874,3.047428,-1.8888617,-4.3384366,-4.378946,-0.71347374,-1.8912297,-6.8827825,-3.1179185,2.756598,2.5772085,3.8834722,-1.2376046,-6.4699073,-2.8429258,-1.4942764,1.4353597,2.1215248,-0.48440197,4.7413683,-6.189929,-3.5196798,3.6363392,3.970374,8.629952,2.9236403,-5.2606564,6.1925373,-0.75653297
RRM1,-1.5491804,-1.1643735,1.4731551,1.2918342,1.227476,0.53585774,0.73611706,-0.095930606,-1.2465277,0.4047458,-1.5637655,-0.6159134,0.2708445,-1.2911665,1.4715592,-2.1131155,-1.0108644,0.99005663,0.35147184,0.8670554,0.17536424,0.6862688,-1.9577099,-0.36497548,-1.2407084,0.96629554,1.2635379,-1.4915737,-1.7656355,0.011559539,1.3027561,-1.2495701,-0.3404892,-0.48018697,0.6271131,1.0012536,-0.9554306,-1.0342156,-0.03741338,-1.6894352,1.9895325,1.4380589,0.6206657,-1.0821114,-1.0774915,1.1105917,1.6108135,1.1679372,0.16253231,-0.18296233,1.5442109,-0.19267847,0.9327255,-0.96494496,0.65453064,1.2267643,0.39325768,-0.53738326,0.27451956,1.6535128,-0.5313677,-1.041846,0.6490734,0.9858181,-1.7420127,-0.329279,-0.84901494,-1.1174738,0.88959956,-1.378423,1.2233175,-0.6050991,-0.19833758,1.5566585,0.81985265,1.3976485,-0.88240916,0.57370526,-0.20201084,-1.0059469,-1.7339948,-0.11467032,1.0415646,-1.5528284,1.0789452,0.06635567,-2.1689777,-0.95526636,-0.85621876,-1.1645274,-1.504614,0.6887826,-0.48321965,1.6757499,-1.5156976,-1.0901288,-1.9520782,0.51633525,-0.37575278,-1.9543357,0.27418894,-0.8624535,0.7235985,-1.0793828,1.4232463,-0.3418733,-0.8982223,-0.48913717,1.894553,1.1926795,0.5116396,-1.7242112,-0.7568672,1.4297771,-1.0953025,1.2873726,0.40423727,0.016939707,0.03349453,-0.86103386,-0.1332827,0.97919506,1.0517013,0.8656461,1.5479234,-1.1549557,1.7111048,-0.71695936
PC,-2.8493626,-2.436593,3.066194,2.3883615,1.7153546,0.23689826,1.1288391,-0.9018964,-2.442144,0.3190462,-2.5017745,-1.3093185,0.20936793,-2.4394724,3.0924554,-4.276451,-1.6128215,1.4932047,0.17659648,1.4240128,0.46201664,0.9221179,-3.5622258,-0.31476393,-2.1912143,1.7084143,2.4681141,-3.281218,-4.237416,-0.7544488,2.3301923,-2.4327598,-1.2990466,-1.4345702,1.4442854,1.825241,-2.1493022,-2.0700138,0.755141,-3.395592,4.337802,3.614622,1.1210274,-2.3273833,-1.6819061,1.9892921,3.5573363,2.347609,0.29575577,0.19525059,3.0504851,0.10542093,1.3340743,-1.771201,1.4682944,2.1400878,1.2818444,-0.43738857,-0.10451877,3.5462143,-1.2766021,-2.0137784,1.2780533,1.5621433,-3.3920121,-1.2733909,-1.5603865,-2.2485087,1.1298153,-2.425377,2.910559,-1.2719256,-0.3030892,2.9025314,1.2832351,2.9113393,-1.3930503,0.6693441,0.25262934,-2.716803,-3.9561696,0.22624603,1.9725183,-2.274543,1.8449899,-0.37599263,-3.8879278,-1.2826439,-1.8450629,-2.5613656,-3.9218998,1.605609,-0.36558577,3.112261,-3.1982841,-1.8880485,-4.470504,0.47091904,-0.60319597,-3.675468,0.25690037,-1.2838539,2.1342971,-2.0328093,3.1833992,-0.16398714,-1.4318862,-0.4417013,3.9529617,2.025239,0.99097776,-3.8894238,-0.5164938,3.011999,-2.131972,2.5747426,0.7198235,0.22706819,-0.05275819,-1.4781727,0.059138857,1.6685202,1.9086101,1.4794405,3.8578582,-2.2089484,3.1483164,-1.3115808
GOT2,-2.2413905,-2.0369184,2.389247,1.9334869,1.1386594,0.30041656,0.7924458,-0.40296462,-2.0508604,0.25050107,-1.9772855,-0.93366677,0.05954838,-2.0038614,2.6076312,-3.2258182,-1.4770048,1.2949789,0.17390077,1.2177311,0.44714463,0.70156264,-2.9212706,-0.45096946,-1.8918257,1.3419,1.9327085,-2.7383192,-3.4391909,-0.729994,1.9883325,-2.0304883,-1.0544653,-1.1586286,1.1623557,1.5758383,-1.7634354,-1.5527753,0.69468117,-2.7206051,3.5850074,2.8112657,1.0583843,-1.7195718,-1.253457,1.6190464,2.8002324,1.9591779,0.34485108,0.33362556,2.524034,0.19538902,1.0786421,-1.2922025,1.0900052,1.7430451,0.9643131,-0.13309875,-0.16993076,2.9252338,-0.96958435,-1.7814673,0.9598297,1.4155467,-2.8552425,-1.1712321,-1.224778,-1.6902586,0.9055684,-1.8436852,2.1409009,-0.91554934,-0.18311553,2.3717363,1.0810295,2.260026,-0.90634525,0.53816825,0.15974292,-2.1318371,-3.2098088,0.3119641,1.6157367,-1.9777714,1.5869852,-0.49592492,-3.0753105,-0.9671221,-1.4501321,-2.097302,-3.111254,1.17143,-0.16844063,2.7857983,-2.6711721,-1.3817589,-3.5396526,0.20273083,-0.51260525,-2.8803308,0.069818266,-0.9986805,1.8163949,-1.3453144,2.691411,-0.117776535,-1.2349757,-0.29896393,3.3494232,1.7965328,0.6925635,-3.2160861,-0.5547106,2.5837424,-1.7432843,1.98665,0.4678863,0.17240912,-0.1610075,-1.1596245,0.15336318,1.464241,1.5107343,1.2027183,3.118104,-1.790978,2.6753788,-1.1841277
UBB,-2.5542142,-0.64428353,-0.101459436,2.3828075,13.4635,7.2985034,7.968875,5.4588575,-1.265429,-0.2509873,-13.038885,-3.2789955,9.864384,-3.128916,-1.3256897,-5.3975267,-8.098346,5.790952,6.553422,7.7343345,0.6409577,8.17819,-3.3171303,-5.2114434,-0.7382791,6.530039,-1.4294541,1.9298792,4.3039827,10.413995,3.8485892,0.33236915,7.411269,6.054156,0.89454496,1.5574622,1.7248461,-3.4442358,-11.416142,-4.746123,-4.7618165,-2.8470328,5.9478087,1.495605,-9.5314865,8.464858,-2.9284916,-0.9074414,-4.917956,-2.7406523,1.9748048,-12.883261,5.6687512,-2.3261144,2.8621664,6.6861396,-4.154969,-10.341443,12.903592,-2.8790078,4.468086,0.9963856,3.0917842,2.9121697,-6.760903,10.533844,-1.1491116,-4.1609335,8.7099085,-9.70381,-5.408287,-2.0903008,-0.10361728,2.6186829,4.85467,2.1098883,-8.127764,4.5856037,-7.8425293,4.398739,6.610134,-9.996421,5.1388016,-5.159693,4.1300945,11.508851,-11.242211,-10.754217,-1.3688048,8.139081,9.210439,-0.69543874,-7.3956523,3.2522886,3.5143619,-5.140747,5.3598948,5.8666167,-5.9618397,-7.6704926,5.2796626,-8.765463,-8.733729,-4.1276274,-4.509672,-5.0674415,-1.4825379,-6.8682528,3.6307166,2.2831135,0.25495058,1.5444496,-7.6927443,-1.7802579,-3.5290482,-2.277485,5.902414,-0.24507523,3.0305314,-4.10654,-6.8440876,4.1013975,5.031902,12.36445,-4.778374,0.50441855,1.9644318,0.020421933
BCL2L1,-2.3026183,-1.7951329,2.1345587,1.4136399,1.4158365,1.5635206,0.68319577,1.6669605,-2.782804,1.0587208,-2.2386658,-0.9075254,0.2683424,-1.8932751,1.8200294,-2.5706906,-2.5528479,1.2012786,-0.23358874,0.85714257,-0.6342704,1.4829308,-0.70418024,-3.2585921,-2.91912,1.5735518,1.5064702,-1.3050183,-2.7773292,0.13590077,2.9901052,-2.4808915,0.6242777,1.083474,1.4670371,1.1785302,-1.5598044,-1.1893839,-1.4652781,-3.9710183,1.4245589,-0.14881633,1.9393233,-0.10914876,-1.091793,1.5370786,1.149521,0.39354903,-0.77564436,1.9882928,1.2357397,-2.062192,2.2497735,0.15485975,1.9537739,0.64655644,-0.17119768,-1.0149901,0.09369621,1.9112927,-1.0740131,-0.3726779,2.1544757,1.2213775,-2.1124144,1.0469218,-0.20137526,-1.0384182,0.48184714,-1.7123047,1.4465765,-1.7091416,-0.91561973,1.3244606,1.1193917,2.857299,-1.4378687,0.9995206,-0.6968858,-0.3567227,-1.1897619,-2.120713,2.2541108,-1.1549389,0.63953847,0.9794388,-3.6429913,-1.4005488,-1.2378706,-0.24649724,-1.314805,0.5621766,0.7614514,1.4470619,-2.7262495,-2.2236536,-3.0677989,-0.1333243,-2.239251,-2.6295805,0.7507875,-0.6613135,0.28924555,-1.4343048,1.1052086,-0.55732733,-2.4987051,-0.42799655,2.189503,1.1140939,1.5160179,-2.1429615,-0.46192765,0.025677452,-0.9380699,1.0694666,0.6410486,0.5037809,0.8483236,-1.5932115,-1.2157482,1.5840082,1.9502903,3.1990123,2.8786192,-2.461924,2.4491875,-0.22063471
