,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
ABL1,0,0.0608325,0.00136,-0.064967,-0.00160975,-0.0515715,0.05227475,-0.06656025,-0.0051045,-0.10693975,-0.05965975,-0.07571625,0.03168675,-0.066456,-0.06921425,-0.05519525,-0.00557975,-0.028717,-0.0850845,-0.04004675,0.0022195,0.038841,-0.049357,-0.0660055,-0.04914075,-0.03692325,0.00045625,-0.03669525,0.0792205,-0.03915375,0.0561645,-0.01075825,0.03634625,0.003437,-0.04779675,-0.02994525,0.07621725,-0.0020275,-0.037978,-0.068357,-0.07154675,-0.058868,0.0341595,0.02450275,0.08588625,0.07038725,0.02256075,0.03437925,0.05494775,0.00857425,-0.063063,-0.0379725,0.07338725,0.03013725,0.07222725,-0.021707,0.0749805,0.01695625,-0.0216705,0.003761,-0.008371,-0.005239,0.0507225,0.048761,0.0167995,-0.02862625,-0.12351475,-0.0226785,-0.026338,-0.051673,0.062011,0.034736,-0.04711275,-0.0030575,0.08657325,0.00983275,0.0364065,0.05619775,0.06103825,0.05660175,0.05041775,-0.0855575,0.075901,0.0497555,-0.025794,0.06154125,-0.0129175,-0.02607975,-0.0130275,0.036299,0.08280775,-0.0618105,0.03876075,-0.04159625,0.031997,0.085294,0.0722525,0.062217,-0.029294,0.07286825,-0.004368,-0.0249285,0.03900275,-0.0498075,0.027294,0.0434645,0.0402965,-0.063945,0.0264065,0.070456,-0.01446175,-0.003456,-0.00061275,0.00126375,-0.07899525,0.0323735,0.073728,-0.021525,0.01995875,-0.06669225,0.068715,0.0098845
AKT1,0.0608325,0,-0.06540675,-0.06826725,0.01589825,0.007739,0.048173,0.06835725,0.07306325,-0.072986,-0.0854285,0.0617745,-0.0415055,-0.0384425,-0.0306815,-0.035618,0.07165925,-0.01728875,0.00022275,-0.0527035,0.05947525,0.04169775,-0.00617025,-0.0307665,0.064654,-0.0471595,0.092962,0.07134875,0.0614505,0.030305,0.020055,0.06474425,-0.00861625,0.00020325,-0.071069,0.09253875,0.02389525,0.01599175,-0.066849,0.06758525,0.0070465,-0.0026455,0.0081595,0.04743125,-0.053728,0.0404755,-0.07836,0.01892825,-0.0641815,0.05896425,0.07031575,-0.05332975,-0.01426925,-0.0074505,0.064382,-0.049725,-0.01907,-0.0316045,0.00011,-0.05698625,-0.03175825,0.07165875,0.01553025,-0.05052475,-0.08172525,-0.0105185,0.0306675,0.00502725,-0.04826025,-0.07262375,-0.0042205,0.0149525,0.07533225,-0.00036825,-0.00128925,-0.065368,0.0239535,0.06840675,-0.01189275,0.03044775,0.063434,-0.00245325,-0.00810975,-0.0792665,-0.0562005,0.0970655,-0.02774725,-0.00988725,0.001228,-0.0378545,-0.03223325,-0.003283,0.06418975,-0.07160175,0.085139,0.00854125,-0.00259625,-0.04411825,-0.03217325,0.05837075,-0.09243575,0.054566,0.01530775,-0.00554125,0.02674475,-0.06330475,0.03171425,-0.000879,-0.072088,-0.001816,0.00709075,0.09608825,-0.00126375,0.00088725,0.0362885,0.06868675,0.06873875,-0.0217445,0.00078,-0.00032425,-0.0337855,-0.085477
PTEN,0.00136,-0.06540675,0,-0.0369505,0.08451175,0.08217575,0.051022,0.03384325,-0.07919225,0.0451485,-0.08675325,-0.02124975,0.01032975,-0.00445875,-0.035357,0.0442745,-0.0539835,-0.0104805,-0.07414,0.074717,-0.04090375,-0.02562925,0.002791,0.032731,0.000923,-0.06261525,-0.06639025,-0.04583525,0.001393,-0.0643215,-0.0079945,0.0660795,0.0233545,-0.06473075,0.00338175,-0.037187,0.072088,0.02471175,0.035077,0.0869435,-0.01537925,0.02712075,-0.03838475,-0.0498625,0.007148,0.07259325,-0.05676675,0.00058775,0.0245305,0.0691125,-0.0070025,0.02570875,0.03540925,-0.0328325,-0.04267325,0.02570325,0.01933525,-0.0937275,-0.03957975,-0.0763185,0.0600575,-0.003574,-0.0803955,0.07396425,-0.03312675,-0.02691775,-0.03084625,0.05303275,0.0557555,-0.0063625,0.005643,-0.04814825,0.03156325,0.003258,-0.02325025,0.02957425,0.07145875,0.06259625,-0.0312555,0.07331625,0.0411265,0.01340675,0.0059725,0.0665275,0.07841525,-0.0552555,-0.0809945,-0.06816025,-0.0618105,0.06715725,0.030986,-0.066041,-0.05085725,0.02591225,0.0588105,0.07617025,0.02716775,0.05231875,0.059302,-0.02767025,0.0605905,0.00415925,0.083693,-0.0456045,-0.06339275,-0.0109175,-0.10091175,-0.05018875,0.05257425,-0.00180775,-0.050677,0.0267115,0.0077775,-0.03196975,0.06377175,-0.09931,0.021507,0.02526625,-0.044088,-0.03238725,-0.04100825,0.07464025
BCL2,-0.064967,-0.06826725,-0.0369505,0,-0.04158525,0.00607675,-0.06088175,-0.0402775,0.0681455,0.0645165,-0.070615,-0.0501155,0.00920875,0.07779925,0.0590715,-0.070209,-0.02911525,0.05489575,-0.05349725,-0.04334325,-0.0142995,-0.06426625,0.05614,-0.0443015,-0.0458545,0.03786275,-0.05929125,0.016305,-0.06748075,-0.027412,0.04127475,-0.02188725,-0.060453,0.0052965,0.08484325,0.01934725,-0.06883225,0.0867675,0.05660975,0.049684,0.07603225,-0.0497995,0.05489,0.0057665,-0.0198435,0.0003875,-0.0498875,0.0541785,0.01471175,0.0507665,-0.04219225,0.028063,0.03059875,0.00414825,0.05610175,-0.03981325,-0.036772,-0.0320715,-0.000456,0.00091225,0.0799375,-0.0400275,-0.000967,0.02661,0.046824,-0.03764275,-0.02143425,0.06423075,0.00087625,0.03916775,-0.063673,0.0117995,0.03178575,-0.04721975,0.00120875,0.010261,0.0027995,0.053412,-0.0396645,0.000898,-0.04069525,-0.0623075,-0.10033075,-0.00324175,-0.03237375,0.03135425,0.0516565,0.0736375,0.030643,-0.06192275,-0.05041475,-0.00379675,-0.02950825,-0.05822525,-0.005481,-0.03109075,-0.02219775,0.0472,0.02028275,0.060088,0.07435725,0.0602085,-0.055577,0.028467,-0.0663985,-0.08474925,0.09036525,0.00733225,-0.05097575,-0.071063,0.044593,-0.034058,-0.06955475,0.04342025,0.02671975,0.07598675,0.001808,-0.025989,-0.06397525,0.00079675,0.0380025,0.0681155
JAK2,-0.00160975,0.01589825,0.08451175,-0.04158525,0,0.067055,-0.03859325,0.0586265,-0.00766525,0.055448,0.0103215,-0.00747525,-0.0750825,-0.00696425,-0.029654,-0.03884925,-0.0346265,0.01733,0.07309975,0.024206,0.086401,0.00375,-0.065062,0.01755225,-0.037327,-0.02737925,-0.066393,-0.070662,0.0053105,0.04030775,-0.03909325,-0.0100165,0.02421975,-0.034162,-0.066775,0.0777475,0.062324,-0.071937,-0.07137625,0.04194225,-0.058563,0.062077,0.08515225,0.08674925,-0.00414275,0.0755125,0.0906155,0.05267575,0.070901,-0.05713175,-0.024761,0.077195,0.02743425,-0.06949425,-0.01766225,-0.036934,0.01516475,-0.0120055,-0.0526595,-0.057684,0.05789825,-0.08055725,0.06921975,-0.02167375,-0.07522175,0.028214,0.09516575,0.0611815,0.04592575,0.05803025,0.068467,0.0313655,-0.06514,0.04320625,0.08398075,0.02592325,-0.00073375,-0.083769,0.0334585,0.06902925,-0.00420875,0.0182445,0.05431875,0.02659875,0.001319,0.0636595,0.05874725,0.05711,-0.06810725,-0.05201075,0.02585175,-0.03042575,-0.0335495,0.052929,0.03750825,0.091984,-0.00986275,-0.0345,-0.040357,-0.002978,0.02397275,-0.0010495,0.06878575,-0.04717025,-0.02606325,0.01725825,-0.04386275,-0.06519775,0.03271725,0.04361825,0.0233435,-0.03549725,-0.05203325,-0.0013325,-0.07625825,-0.05927775,-0.0414725,-0.062283,0.026357,0.03088475,-0.0042995,0.045602
RRM1,-0.0515715,0.007739,0.08217575,0.00607675,0.067055,0,0.051047,0.02627475,-0.0950255,0.04167025,0.04883775,0.00431025,-0.04861275,0.02569775,0.025882,0.0917095,0.054478,-0.007264,-0.08512625,-0.0739175,-0.00422525,-0.053566,-0.00996825,-0.02870325,0.0469835,-0.06769275,0.0451595,-0.00743975,-0.08067,-0.013415,0.0573105,0.00256875,-0.0575085,0.04558525,-0.06232025,-0.09643075,0.0692885,0.06293675,-0.07654675,-0.02306075,0.067695,0.10874225,0.0704175,0.0639485,0.002132,0.05096725,-0.065555,-0.0039395,-0.07240125,-0.056893,0.035607,0.00560725,-0.03032675,0.0428655,-0.071552,-0.0413245,0.035662,-0.08963675,0.00876125,0.030742,-0.004915,0.02512075,0.03453825,-0.02470625,-0.0824385,-0.04030475,-0.06586525,-0.024382,-0.00398925,-0.0009445,-0.043879,-0.0740495,-0.03456575,-0.04307675,0.0619125,-0.04759875,0.082821,-0.00373925,0.022775,0.0718845,-0.0806165,0.033283,0.03092875,0.0834955,-0.00577175,0.0525,-0.02258775,-0.0554615,-0.07261,0.0392305,-0.00366475,-0.02367325,-0.00284075,0.05709075,0.061082,-0.0510685,0.009228,0.0278655,0.08691,0.02900575,-0.067077,-0.05976075,0.1134785,0.04178025,0.03128575,0.03855225,0.02325275,0.053969,0.05989025,0.035901,-0.00761575,-0.0652885,0.0251675,0.06461825,0.059291,-0.02878025,-0.0315825,0.06190375,-0.059596,-0.0528795,-0.0656125,-0.0738025
PC,0.05227475,0.048173,0.051022,-0.06088175,-0.03859325,0.051047,0,0.08889625,-0.02386525,0.0416355,0.006022,-0.00364,0.071915,-0.04610725,-0.006099,0.03140925,-0.02341475,-0.06412375,-0.06551375,-0.08042275,-0.00298075,0.0427775,0.07347825,-0.025014,0.058736,0.0225275,0.00186825,-0.002805,-0.082826,-0.08549175,0.0552995,0.0807635,-0.0592445,-0.066706,0.07516475,0.07325925,-0.0167005,0.0353655,0.03612075,-0.0026785,0.009489,-0.07318475,0.00724175,-0.07207725,0.0312335,0.03030775,0.058967,0.05289275,0.005857,-0.00404675,0.00305775,-0.0731285,-0.049742,0.06701375,-0.068888,-0.0364975,-0.0769185,-0.05963475,0.0104505,0.009912,0.02722525,0.02570625,0.04275825,0.09575325,0.00787075,-0.0334945,-0.06469225,0.07015675,0.0196595,0.0692555,0.04173075,0.03705225,-0.0371235,0.01507525,-0.05771925,-0.01726675,0.02650275,-0.033871,-0.0277445,0.00791225,-0.03200275,-0.0262665,0.01868875,-0.04822275,-0.02983525,0.02606325,0.06087625,0.023813,-0.00551925,-0.03503025,0.03776125,0.06973625,0.0304755,0.0171895,0.034541,0.017555,0.055206,0.05172525,-0.00057125,-0.0655715,-0.00814825,-0.06988725,-0.0027225,0.0433765,-0.074291,0.068338,-0.04626475,0.03005225,0.09425225,0.04045325,-0.043345,-0.004511,0.0303435,-0.0035905,-0.03150825,0.0306045,0.078913,-0.07673675,-0.018588,-0.051497,0.03304125,-0.057258
GOT2,-0.06656025,0.06835725,0.03384325,-0.0402775,0.0586265,0.02627475,0.08889625,0,-0.0385795,-0.01646425,-0.029464,0.04031575,-0.033555,0.0385,0.02761525,-0.0005495,-0.07346175,0.03782425,-0.065,-0.00360975,0.00948375,0.067173,-0.0045275,0.0846755,0.02758,-0.063923,-0.0285275,0.131985,-0.0523875,-0.04441375,-0.009055,-0.04744725,-0.029195,-0.0399945,0.06641475,-0.00356875,0.06614,-0.04025275,-0.0076565,-0.05075025,-0.03121,-0.0778435,0.07314275,0.036673,-0.03064275,0.0607005,0.0647335,0.08382525,0.00268125,-0.0348325,0.0820235,0.00222,0.0891695,-0.0514665,0.04389575,-0.0368875,-0.00480775,0.007849,-0.00832125,0.02886525,-0.034349,-0.0343875,0.030596,0.093969,0.0666455,0.02678025,-0.035511,0.047816,-0.0217115,0.0561565,0.07867025,-0.04391475,-0.0726705,0.05182675,-0.03520325,0.04992025,-0.035338,0.023433,-0.03258775,0.00642875,0.006599,0.05298075,-0.06895575,-0.04377475,-0.032302,-0.060783,0.06826375,0.00574725,-0.003964,0.0033625,0.00326125,-0.0576895,-0.02285175,0.022717,-0.03435175,0.007967,0.04321725,0.0345715,0.0257885,0.00106875,0.0068185,-0.092857,0.01575825,0.0044615,-0.07193675,-0.02119525,0.0014095,0.0411485,-0.02615375,-0.01892925,0.032253,0.03912075,0.0531785,0.05927475,-0.07373925,0.0833955,-0.00215125,-0.051357,-0.058209,0.06204375,-0.08310775,-0.0494695
UBB,-0.0051045,0.07306325,-0.07919225,0.0681455,-0.00766525,-0.0950255,-0.02386525,-0.0385795,0,-0.05543125,0.02663725,-0.0231595,-0.0629065,0.040088,0.063395,-0.0764945,-0.06762075,0.0707965,0.03465675,0.0427225,0.074272,-0.05314275,0.05746425,-0.06450275,-0.020426,0.05497525,-0.014324,0.0346045,-0.02187925,0.060121,-0.00056975,0.02025,-0.0879335,-0.061577,-0.04592025,0.0778515,0.052453,-0.03680475,-0.0741725,-0.04656325,-0.05036175,-0.0608765,0.00857975,-0.03771675,-0.04820075,-0.03815375,0.07106575,0.00684075,0.111067,0.055022,0.06302725,0.0259725,-0.005489,0.0717885,-0.06541475,-0.005415,-0.0073955,0.07103575,0.003151,-0.06595875,0.0647885,-0.033761,0.0142005,0.06351925,0.07832125,0.048118,0.065676,-0.04089575,0.033849,0.00272525,-0.05914825,0.0760385,-0.03434025,0.02519775,0.013228,-0.05665125,0.00261,0.0650685,-0.033382,-0.032536,0.040486,-0.03551925,0.003385,-0.03826925,0.06414575,-0.06041775,-0.065632,0.0065245,-0.03457675,-0.06511525,-0.068099,0.02719525,0.08673975,0.0690935,0.01894475,-0.0591155,-0.00423625,0.05833525,0.0433545,0.0035165,-0.04871975,-0.05718675,0.08026425,0.00562375,-0.07825675,0.02692325,-0.041074,-0.0380855,0.00651925,-0.020313,-0.02604375,0.0515495,0.04406875,0.002629,0.0303295,0.0267995,-0.02643125,0.00069525,0.00356875,-0.00935175,0.07507125,0.03682975
BCL2L1,-0.10693975,-0.072986,0.0451485,0.0645165,0.055448,0.04167025,0.0416355,-0.01646425,-0.05543125,0,0.05543125,-0.03582425,0.0804065,-0.01002175,-0.0683405,0.031283,0.05995325,0.030228,-0.04728,-0.09209825,0.03065125,0.02941775,0.0568635,0.0456455,0.02820075,0.001456,-0.00273625,-0.03799725,-0.079173,-0.05424725,-0.0666785,-0.0591705,0.03150275,-0.03951625,-0.0327365,-0.0564095,-0.02506875,0.04306075,0.01432425,-0.0297855,0.06212925,-0.04822325,-0.01537625,0.02265375,-0.0071705,-0.060522,0.037319,0.0428185,0.00852475,-0.062725,0.03003825,-0.03164275,-0.094646,-0.05229125,-0.06022275,0.028555,-0.04602225,-0.0484645,-0.0153435,-0.044761,-0.001437,-0.06561,0.023588,0.079665,0.043758,-0.05218125,0.02043125,-0.024665,-0.05945625,-0.00387075,0.072437,-0.077945,0.05505475,0.021305,-0.00364575,0.003915,0.03370325,-0.06548375,-0.0658735,-0.02900825,-0.00031025,0.0386375,0.00120875,0.04371975,-0.0480215,-0.018302,0.035445,0.02905175,0.0546,0.0683985,-0.039327,0.06528825,0.063456,0.09516575,-0.004129,0.00940925,-0.06581875,0.03049175,-0.0285715,-0.068151,-0.0624535,-0.027846,-0.075229,0.02668125,-0.01199725,0.0389395,0.043555,-0.05458825,0.0322885,0.081542,-0.00036825,-0.04090925,-0.06225825,0.03962075,0.05695875,-0.0083215,0.01910975,0.00012375,0.01323625,-0.0082255,0.0377255,0.062603
